train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.3715, 0.7470, 0.6367, 0.5208, 0.6308, train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.3792, 0.7385, 0.6289, 0.5138, 0.6241, 0.3625, 0.7690, 0.6658, 0.5374, 0.6502, 
0.3415, 0.7681, 0.6605, 0.5489, 0.6603, 0.3615, 0.7365, 0.6650, 0.5403, 0.6511, 
0.3361, 0.7733, 0.6634, 0.5548, 0.6656, 0.3324, 0.7738, 0.6818, 0.5682, 0.6801, 
0.3310, 0.7774, 0.6691, 0.5599, 0.6707, 0.3593, 0.7756, 0.6787, 0.5516, 0.6527, 
0.3260, 0.7824, 0.6733, 0.5659, 0.6757, 0.3349, 0.7971, 0.6630, 0.5698, 0.6774, 
0.3185, 0.7867, 0.6828, 0.5731, 0.6831, 0.3468, 0.7916, 0.6594, 0.5589, 0.6655, 
0.3198, 0.7851, 0.6824, 0.5729, 0.6818, 0.3445, 0.7876, 0.6721, 0.5638, 0.6678, 
0.3160, 0.7885, 0.6841, 0.5757, 0.6855, 0.3277, 0.7880, 0.6835, 0.5757, 0.6845, 
0.3125, 0.7915, 0.6884, 0.5799, 0.6890, 0.3225, 0.7854, 0.6930, 0.5816, 0.6898, 
0.3094, 0.7950, 0.6907, 0.5839, 0.6921, 0.3402, 0.7976, 0.6737, 0.5656, 0.6721, 
0.3109, 0.7922, 0.6896, 0.5810, 0.6907, 0.3395, 0.7857, 0.6716, 0.5654, 0.6728, 
0.3047, 0.7971, 0.6952, 0.5875, 0.6969, 0.3161, 0.8050, 0.6942, 0.5901, 0.6962, 
0.2981, 0.8007, 0.7025, 0.5945, 0.7035, 0.3097, 0.8125, 0.6965, 0.5967, 0.7025, 
0.2996, 0.8025, 0.7011, 0.5941, 0.7020, 0.2999, 0.8062, 0.7187, 0.6020, 0.7123, 
0.3025, 0.8015, 0.6959, 0.5915, 0.6990, 0.3021, 0.8126, 0.7030, 0.6023, 0.7101, 
0.2965, 0.8040, 0.7035, 0.5968, 0.7051, 0.3092, 0.7970, 0.7129, 0.5929, 0.7030, 
0.2934, 0.8046, 0.7068, 0.6000, 0.7081, 0.3056, 0.8181, 0.6929, 0.6006, 0.7066, 
0.2910, 0.8076, 0.7088, 0.6016, 0.7105, 0.3104, 0.8129, 0.6980, 0.5954, 0.7018, 
0.2912, 0.8085, 0.7079, 0.6023, 0.7103, 0.3003, 0.8225, 0.7033, 0.6060, 0.7121, 
0.2878, 0.8103, 0.7116, 0.6055, 0.7137, 0.3013, 0.8147, 0.7173, 0.6030, 0.7109, 
0.2855, 0.8121, 0.7135, 0.6078, 0.7160, 0.2942, 0.8159, 0.7222, 0.6103, 0.7180, 
0.2829, 0.8135, 0.7162, 0.6103, 0.7186, 0.3025, 0.8169, 0.7034, 0.6020, 0.7097, 
0.2856, 0.8130, 0.7122, 0.6082, 0.7159, 0.2937, 0.8194, 0.7143, 0.6104, 0.7185, 
0.2816, 0.8133, 0.7196, 0.6119, 0.7199, 0.2938, 0.8213, 0.7109, 0.6111, 0.7184, 
0.2835, 0.8119, 0.7166, 0.6103, 0.7180, 0.3112, 0.7991, 0.7026, 0.5940, 0.7010, 
0.2811, 0.8134, 0.7195, 0.6123, 0.7204, 0.2930, 0.8248, 0.7112, 0.6128, 0.7192, 
0.2803, 0.8141, 0.7195, 0.6129, 0.7212, 0.2916, 0.8145, 0.7201, 0.6110, 0.7206, 
0.2771, 0.8175, 0.7219, 0.6160, 0.7245, 0.2936, 0.8241, 0.7113, 0.6113, 0.7186, 
0.2748, 0.8203, 0.7241, 0.6189, 0.7267, 0.2923, 0.8172, 0.7182, 0.6123, 0.7199, 
0.2752, 0.8204, 0.7228, 0.6190, 0.7263, 0.2982, 0.8230, 0.7069, 0.6080, 0.7140, 
0.2724, 0.8217, 0.7260, 0.6216, 0.7291, 0.2942, 0.8218, 0.7083, 0.6116, 0.7180, 
0.2743, 0.8205, 0.7239, 0.6198, 0.7273, 0.2852, 0.8241, 0.7172, 0.6203, 0.7271, 
0.2706, 0.8223, 0.7282, 0.6234, 0.7310, 0.2991, 0.8167, 0.7119, 0.6069, 0.7131, 
0.2710, 0.8217, 0.7282, 0.6229, 0.7305, 0.2992, 0.8267, 0.7068, 0.6093, 0.7130, 
0.2681, 0.8230, 0.7323, 0.6258, 0.7334, 0.2928, 0.8216, 0.7095, 0.6129, 0.7194, 
0.2673, 0.8245, 0.7315, 0.6270, 0.7342, 0.2855, 0.8277, 0.7220, 0.6188, 0.7267, 
0.2652, 0.8256, 0.7340, 0.6293, 0.7363, 0.2914, 0.8145, 0.7207, 0.6128, 0.7208, 
0.2655, 0.8248, 0.7343, 0.6287, 0.7360, 0.2957, 0.8105, 0.7158, 0.6080, 0.7165, 
0.2653, 0.8253, 0.7332, 0.6286, 0.7362, 0.2856, 0.8272, 0.7186, 0.6203, 0.7267, 
0.2648, 0.8258, 0.7348, 0.6294, 0.7367, 0.2980, 0.8213, 0.7022, 0.6082, 0.7142, 
0.2579, 0.8303, 0.7402, 0.6362, 0.7436, 0.2887, 0.8216, 0.7258, 0.6161, 0.7235, 
0.2594, 0.8306, 0.7382, 0.6352, 0.7421, 0.2982, 0.8212, 0.7083, 0.6095, 0.7140, 
0.2616, 0.8276, 0.7369, 0.6326, 0.7399, 0.2991, 0.8124, 0.7091, 0.6073, 0.7131, 
0.2551, 0.8317, 0.7435, 0.6391, 0.7464, 0.2945, 0.8215, 0.7105, 0.6113, 0.7177, 
0.2539, 0.8323, 0.7446, 0.6404, 0.7476, 0.2949, 0.8032, 0.7255, 0.6092, 0.7173, 
0.2562, 0.8303, 0.7434, 0.6379, 0.7453, 
