train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2228, 0.8205, 0.7782, 0.6741, 0.7822, 0.2134, 0.8478, 0.7851, 0.6909, 0.7973, 
0.1915, 0.8437, 0.8039, 0.7071, 0.8106, 0.1947, 0.8605, 0.7833, 0.7130, 0.8160, 
0.1790, 0.8542, 0.8152, 0.7224, 0.8230, 0.1728, 0.8703, 0.8169, 0.7390, 0.8376, 
0.1738, 0.8570, 0.8218, 0.7286, 0.8283, 0.1729, 0.8678, 0.8263, 0.7394, 0.8376, 
0.1669, 0.8615, 0.8292, 0.7371, 0.8350, 0.1737, 0.8642, 0.8448, 0.7370, 0.8368, 
0.1618, 0.8629, 0.8352, 0.7435, 0.8400, 0.1590, 0.8748, 0.8416, 0.7557, 0.8514, 
0.1573, 0.8686, 0.8384, 0.7495, 0.8446, 0.1657, 0.8752, 0.8345, 0.7479, 0.8448, 
0.1547, 0.8706, 0.8418, 0.7531, 0.8472, 0.1544, 0.8825, 0.8412, 0.7621, 0.8560, 
0.1550, 0.8701, 0.8417, 0.7528, 0.8468, 0.1482, 0.8834, 0.8585, 0.7696, 0.8622, 
0.1492, 0.8743, 0.8470, 0.7601, 0.8526, 0.1541, 0.8853, 0.8374, 0.7628, 0.8563, 
0.1487, 0.8758, 0.8471, 0.7610, 0.8533, 0.1555, 0.8803, 0.8419, 0.7603, 0.8549, 
0.1460, 0.8769, 0.8509, 0.7643, 0.8558, 0.1519, 0.8842, 0.8463, 0.7657, 0.8584, 
0.1424, 0.8800, 0.8546, 0.7693, 0.8595, 0.1556, 0.8779, 0.8476, 0.7604, 0.8548, 
0.1411, 0.8807, 0.8559, 0.7712, 0.8607, 0.1547, 0.8705, 0.8572, 0.7603, 0.8557, 
0.1385, 0.8836, 0.8565, 0.7744, 0.8633, 0.1497, 0.8856, 0.8454, 0.7689, 0.8607, 
0.1356, 0.8858, 0.8605, 0.7789, 0.8662, 0.1492, 0.8835, 0.8573, 0.7683, 0.8611, 
0.1368, 0.8857, 0.8601, 0.7771, 0.8650, 0.1562, 0.8821, 0.8329, 0.7608, 0.8542, 
0.1340, 0.8871, 0.8619, 0.7809, 0.8678, 0.1453, 0.8876, 0.8547, 0.7742, 0.8650, 
0.1282, 0.8926, 0.8672, 0.7890, 0.8736, 0.1531, 0.8750, 0.8591, 0.7635, 0.8572, 
0.1282, 0.8932, 0.8670, 0.7891, 0.8736, 0.1494, 0.8798, 0.8555, 0.7674, 0.8609, 
0.1262, 0.8946, 0.8705, 0.7920, 0.8756, 0.1514, 0.8803, 0.8455, 0.7652, 0.8590, 
0.1243, 0.8961, 0.8712, 0.7945, 0.8775, 0.1514, 0.8818, 0.8499, 0.7658, 0.8590, 
0.1209, 0.8999, 0.8736, 0.7996, 0.8809, 0.1509, 0.8840, 0.8485, 0.7664, 0.8595, 
0.1192, 0.9006, 0.8759, 0.8016, 0.8826, 0.1499, 0.8796, 0.8599, 0.7670, 0.8605, 
0.1183, 0.9022, 0.8765, 0.8034, 0.8835, 0.1590, 0.8784, 0.8297, 0.7563, 0.8514, 
0.1151, 0.9051, 0.8796, 0.8079, 0.8867, 0.1451, 0.8859, 0.8578, 0.7742, 0.8652, 
0.1139, 0.9060, 0.8810, 0.8094, 0.8879, 0.1507, 0.8823, 0.8503, 0.7665, 0.8596, 
0.1115, 0.9086, 0.8832, 0.8132, 0.8902, 0.1509, 0.8791, 0.8532, 0.7661, 0.8594, 
0.1076, 0.9121, 0.8865, 0.8188, 0.8942, 0.1533, 0.8864, 0.8341, 0.7644, 0.8571, 
0.1054, 0.9138, 0.8892, 0.8218, 0.8964, 0.1487, 0.8870, 0.8508, 0.7706, 0.8616, 
0.1046, 0.9144, 0.8902, 0.8234, 0.8972, 0.1466, 0.8847, 0.8537, 0.7720, 0.8637, 
0.1021, 0.9172, 0.8914, 0.8269, 0.8996, 0.1497, 0.8878, 0.8426, 0.7686, 0.8606, 
0.1008, 0.9190, 0.8930, 0.8290, 0.9010, 0.1492, 0.8827, 0.8574, 0.7694, 0.8612, 
0.1006, 0.9187, 0.8935, 0.8293, 0.9012, 0.1587, 0.8770, 0.8363, 0.7578, 0.8516, 
0.0963, 0.9237, 0.8975, 0.8362, 0.9055, 0.1501, 0.8835, 0.8468, 0.7681, 0.8603, 
0.0937, 0.9259, 0.8997, 0.8400, 0.9081, 0.1478, 0.8845, 0.8527, 0.7702, 0.8626, 
0.0904, 0.9287, 0.9027, 0.8449, 0.9114, 0.1470, 0.8833, 0.8542, 0.7719, 0.8633, 
0.0914, 0.9269, 0.9026, 0.8434, 0.9104, 0.1585, 0.8801, 0.8376, 0.7581, 0.8518, 
0.0903, 0.9287, 0.9035, 0.8452, 0.9115, 0.1497, 0.8818, 0.8448, 0.7679, 0.8607, 
0.0860, 0.9322, 0.9076, 0.8517, 0.9158, 0.1533, 0.8812, 0.8426, 0.7636, 0.8570, 
