train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2488, 0.7888, 0.7491, 0.6410, 0.7545, 0.2098, 0.8225, 0.8010, 0.6917, 0.8027, 
0.2052, 0.8264, 0.7833, 0.6890, 0.7965, 0.2011, 0.8458, 0.7978, 0.7057, 0.8113, 
0.1996, 0.8323, 0.7885, 0.6957, 0.8021, 0.1940, 0.8406, 0.8053, 0.7112, 0.8184, 
0.1957, 0.8369, 0.7923, 0.7004, 0.8060, 0.1919, 0.8436, 0.8122, 0.7142, 0.8205, 
0.1885, 0.8430, 0.7998, 0.7093, 0.8131, 0.1926, 0.8454, 0.8146, 0.7143, 0.8197, 
0.1862, 0.8426, 0.8072, 0.7116, 0.8154, 0.1805, 0.8629, 0.8101, 0.7298, 0.8318, 
0.1834, 0.8437, 0.8117, 0.7152, 0.8182, 0.1742, 0.8643, 0.8183, 0.7375, 0.8381, 
0.1822, 0.8477, 0.8070, 0.7174, 0.8194, 0.1895, 0.8393, 0.8191, 0.7164, 0.8228, 
0.1787, 0.8509, 0.8117, 0.7216, 0.8228, 0.1830, 0.8617, 0.8086, 0.7277, 0.8292, 
0.1756, 0.8519, 0.8166, 0.7253, 0.8259, 0.1825, 0.8487, 0.8250, 0.7258, 0.8298, 
0.1714, 0.8541, 0.8221, 0.7303, 0.8301, 0.1736, 0.8641, 0.8253, 0.7379, 0.8386, 
0.1691, 0.8552, 0.8249, 0.7332, 0.8325, 0.1928, 0.8464, 0.8346, 0.7138, 0.8194, 
0.1683, 0.8560, 0.8251, 0.7341, 0.8332, 0.1676, 0.8692, 0.8291, 0.7467, 0.8446, 
0.1648, 0.8590, 0.8280, 0.7386, 0.8367, 0.2679, 0.8031, 0.7511, 0.6349, 0.7444, 
0.1620, 0.8609, 0.8321, 0.7426, 0.8396, 0.1710, 0.8666, 0.8312, 0.7416, 0.8412, 
0.1597, 0.8628, 0.8340, 0.7455, 0.8418, 0.1649, 0.8691, 0.8320, 0.7487, 0.8473, 
0.1582, 0.8635, 0.8360, 0.7473, 0.8433, 0.1649, 0.8746, 0.8302, 0.7506, 0.8473, 
0.1602, 0.8631, 0.8332, 0.7446, 0.8413, 0.1694, 0.8566, 0.8422, 0.7421, 0.8428, 
