train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2258, 0.8140, 0.7753, 0.6678, 0.7775, 0.2078, 0.8439, 0.7856, 0.6962, 0.8053, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2235, 0.8147, 0.7788, 0.6701, 0.7798, 0.2372, 0.8252, 0.7860, 0.6659, 0.7755, 
0.1985, 0.8388, 0.7917, 0.6976, 0.8033, 0.1838, 0.8633, 0.8132, 0.7259, 0.8287, 
0.1839, 0.8490, 0.8085, 0.7154, 0.8178, 0.1820, 0.8433, 0.8422, 0.7251, 0.8303, 
0.1817, 0.8503, 0.8121, 0.7179, 0.8200, 0.1669, 0.8723, 0.8413, 0.7466, 0.8454, 
0.1751, 0.8549, 0.8212, 0.7255, 0.8265, 0.1691, 0.8720, 0.8406, 0.7438, 0.8432, 
0.1730, 0.8568, 0.8224, 0.7283, 0.8286, 0.1613, 0.8757, 0.8418, 0.7532, 0.8510, 
0.1663, 0.8614, 0.8299, 0.7372, 0.8353, 0.1637, 0.8754, 0.8408, 0.7513, 0.8487, 
0.1734, 0.8606, 0.8140, 0.7291, 0.8282, 0.1648, 0.8770, 0.8362, 0.7502, 0.8475, 
0.1673, 0.8632, 0.8253, 0.7364, 0.8342, 0.1659, 0.8755, 0.8402, 0.7484, 0.8464, 
0.1643, 0.8649, 0.8285, 0.7403, 0.8373, 0.1626, 0.8718, 0.8472, 0.7522, 0.8497, 
0.1580, 0.8673, 0.8380, 0.7479, 0.8435, 0.1673, 0.8731, 0.8568, 0.7472, 0.8449, 
0.1596, 0.8674, 0.8340, 0.7459, 0.8419, 0.1738, 0.8763, 0.8078, 0.7394, 0.8385, 
0.1664, 0.8665, 0.8227, 0.7383, 0.8351, 0.1617, 0.8824, 0.8330, 0.7554, 0.8505, 
0.1605, 0.8667, 0.8341, 0.7449, 0.8410, 0.1537, 0.8839, 0.8404, 0.7643, 0.8585, 
0.1564, 0.8699, 0.8391, 0.7502, 0.8452, 0.1605, 0.8834, 0.8321, 0.7554, 0.8517, 
0.1549, 0.8690, 0.8424, 0.7517, 0.8466, 0.1606, 0.8800, 0.8374, 0.7551, 0.8516, 
0.1503, 0.8738, 0.8445, 0.7580, 0.8512, 0.1482, 0.8864, 0.8591, 0.7711, 0.8641, 
0.1470, 0.8757, 0.8485, 0.7622, 0.8545, 0.1487, 0.8864, 0.8519, 0.7713, 0.8636, 
0.1474, 0.8754, 0.8486, 0.7618, 0.8541, 0.1481, 0.8853, 0.8592, 0.7716, 0.8642, 
0.1455, 0.8759, 0.8504, 0.7641, 0.8560, 0.1629, 0.8692, 0.8476, 0.7524, 0.8493, 
0.1457, 0.8768, 0.8493, 0.7641, 0.8558, 0.1509, 0.8866, 0.8493, 0.7679, 0.8613, 
0.1469, 0.8757, 0.8505, 0.7627, 0.8546, 0.1566, 0.8773, 0.8459, 0.7597, 0.8556, 
0.1483, 0.8756, 0.8462, 0.7609, 0.8532, 0.1494, 0.8864, 0.8474, 0.7702, 0.8628, 
0.1441, 0.8778, 0.8520, 0.7663, 0.8574, 0.1497, 0.8872, 0.8536, 0.7698, 0.8626, 
0.1428, 0.8788, 0.8533, 0.7680, 0.8587, 0.1562, 0.8783, 0.8505, 0.7609, 0.8560, 
0.1409, 0.8807, 0.8540, 0.7705, 0.8606, 0.1447, 0.8888, 0.8563, 0.7757, 0.8675, 
0.1394, 0.8813, 0.8568, 0.7725, 0.8622, 0.1499, 0.8873, 0.8507, 0.7696, 0.8623, 
0.1390, 0.8815, 0.8565, 0.7731, 0.8625, 0.1427, 0.8873, 0.8667, 0.7782, 0.8696, 
0.1383, 0.8821, 0.8578, 0.7740, 0.8632, 0.1456, 0.8879, 0.8559, 0.7746, 0.8666, 
0.1365, 0.8827, 0.8592, 0.7766, 0.8650, 0.1477, 0.8850, 0.8554, 0.7725, 0.8645, 
0.1351, 0.8845, 0.8603, 0.7783, 0.8664, 0.1491, 0.8815, 0.8535, 0.7697, 0.8631, 
0.1353, 0.8847, 0.8593, 0.7781, 0.8662, 0.1565, 0.8755, 0.8647, 0.7596, 0.8557, 
0.1357, 0.8840, 0.8612, 0.7778, 0.8658, 0.1569, 0.8792, 0.8464, 0.7594, 0.8553, 
0.1338, 0.8857, 0.8622, 0.7801, 0.8677, 0.1452, 0.8860, 0.8609, 0.7750, 0.8670, 
0.1320, 0.8868, 0.8633, 0.7828, 0.8695, 0.1502, 0.8894, 0.8416, 0.7695, 0.8620, 
0.1336, 0.8863, 0.8605, 0.7806, 0.8679, 0.1410, 0.8925, 0.8571, 0.7812, 0.8712, 
0.1337, 0.8873, 0.8613, 0.7806, 0.8678, 0.1430, 0.8887, 0.8657, 0.7783, 0.8692, 
0.1321, 0.8880, 0.8627, 0.7828, 0.8694, 0.1441, 0.8867, 0.8610, 0.7767, 0.8681, 
0.1284, 0.8902, 0.8655, 0.7877, 0.8731, 0.1441, 0.8862, 0.8661, 0.7761, 0.8681, 
0.1280, 0.8903, 0.8679, 0.7884, 0.8735, 0.1461, 0.8868, 0.8508, 0.7741, 0.8661, 
0.1257, 0.8929, 0.8688, 0.7915, 0.8758, 0.1457, 0.8864, 0.8555, 0.7744, 0.8666, 
0.1250, 0.8937, 0.8700, 0.7929, 0.8765, 0.1405, 0.8907, 0.8655, 0.7811, 0.8717, 
0.1260, 0.8926, 0.8684, 0.7911, 0.8755, 0.1425, 0.8878, 0.8615, 0.7785, 0.8698, 
0.1231, 0.8960, 0.8715, 0.7955, 0.8784, 0.1442, 0.8836, 0.8672, 0.7760, 0.8680, 
0.1246, 0.8947, 0.8698, 0.7933, 0.8769, 0.1509, 0.8832, 0.8441, 0.7680, 0.8613, 
0.1209, 0.8973, 0.8736, 0.7985, 0.8806, 0.1439, 0.8881, 0.8564, 0.7770, 0.8684, 
0.1194, 0.8987, 0.8740, 0.8007, 0.8821, 0.1420, 0.8907, 0.8594, 0.7790, 0.8702, 
0.1198, 0.8985, 0.8744, 0.8001, 0.8817, 0.1447, 0.8891, 0.8545, 0.7766, 0.8675, 
0.1185, 0.8995, 0.8754, 0.8019, 0.8829, 0.1421, 0.8917, 0.8577, 0.7796, 0.8701, 
0.1167, 0.9015, 0.8765, 0.8045, 0.8848, 0.1418, 0.8908, 0.8603, 0.7797, 0.8705, 
