train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2434, 0.8007, 0.7685, 0.6488, 0.7605, 0.2491, 0.8128, 0.7805, 0.6516, 0.7635, 
0.2153, 0.8240, 0.7888, 0.6782, 0.7865, 0.2162, 0.8069, 0.8178, 0.6829, 0.7961, 
0.2021, 0.8338, 0.7984, 0.6933, 0.7996, 0.1937, 0.8475, 0.8181, 0.7131, 0.8186, 
0.2078, 0.8311, 0.7971, 0.6865, 0.7938, 0.2153, 0.8353, 0.8138, 0.6884, 0.7971, 
0.1951, 0.8400, 0.8031, 0.7015, 0.8065, 0.1978, 0.8469, 0.8020, 0.7085, 0.8145, 
0.1920, 0.8415, 0.8087, 0.7051, 0.8096, 0.2101, 0.8383, 0.8133, 0.6947, 0.8022, 
0.1879, 0.8437, 0.8109, 0.7101, 0.8137, 0.1875, 0.8566, 0.8241, 0.7212, 0.8248, 
0.1869, 0.8442, 0.8130, 0.7112, 0.8146, 0.1911, 0.8560, 0.8151, 0.7172, 0.8212, 
0.1842, 0.8481, 0.8142, 0.7148, 0.8174, 0.1932, 0.8499, 0.8236, 0.7140, 0.8191, 
0.1819, 0.8482, 0.8159, 0.7175, 0.8196, 0.1835, 0.8565, 0.8254, 0.7250, 0.8289, 
0.1833, 0.8467, 0.8159, 0.7154, 0.8183, 0.1806, 0.8611, 0.8199, 0.7292, 0.8317, 
0.1789, 0.8504, 0.8179, 0.7210, 0.8227, 0.1811, 0.8553, 0.8286, 0.7281, 0.8311, 
0.1766, 0.8515, 0.8206, 0.7237, 0.8249, 0.1824, 0.8544, 0.8252, 0.7268, 0.8298, 
0.1761, 0.8528, 0.8204, 0.7247, 0.8254, 0.1817, 0.8616, 0.8130, 0.7285, 0.8305, 
0.1751, 0.8532, 0.8212, 0.7260, 0.8264, 0.1808, 0.8603, 0.8226, 0.7288, 0.8314, 
0.1735, 0.8546, 0.8227, 0.7277, 0.8280, 0.1794, 0.8614, 0.8222, 0.7314, 0.8328, 
0.1712, 0.8559, 0.8254, 0.7307, 0.8303, 0.1748, 0.8628, 0.8272, 0.7365, 0.8374, 
0.1726, 0.8552, 0.8233, 0.7293, 0.8289, 0.1810, 0.8588, 0.8281, 0.7283, 0.8313, 
0.1707, 0.8561, 0.8267, 0.7317, 0.8308, 0.1789, 0.8648, 0.8161, 0.7325, 0.8334, 
0.1676, 0.8589, 0.8275, 0.7352, 0.8339, 0.1886, 0.8516, 0.8377, 0.7192, 0.8236, 
0.1685, 0.8577, 0.8281, 0.7341, 0.8330, 0.1723, 0.8630, 0.8325, 0.7398, 0.8399, 
0.1667, 0.8598, 0.8300, 0.7367, 0.8348, 0.1737, 0.8630, 0.8348, 0.7376, 0.8385, 
0.1675, 0.8589, 0.8289, 0.7353, 0.8340, 0.1783, 0.8622, 0.8215, 0.7321, 0.8339, 
0.1654, 0.8609, 0.8289, 0.7383, 0.8361, 0.1715, 0.8650, 0.8298, 0.7409, 0.8407, 
0.1624, 0.8625, 0.8330, 0.7421, 0.8392, 0.1748, 0.8672, 0.8205, 0.7375, 0.8375, 
