train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2221, 0.8169, 0.7812, 0.6722, 0.7816, 0.2164, 0.8098, 0.8367, 0.6828, 0.7962, 
0.1893, 0.8409, 0.8076, 0.7078, 0.8125, 0.1790, 0.8593, 0.8227, 0.7307, 0.8334, 
0.1808, 0.8490, 0.8146, 0.7183, 0.8209, 0.1916, 0.8268, 0.8495, 0.7135, 0.8207, 
0.1795, 0.8499, 0.8157, 0.7202, 0.8222, 0.1666, 0.8680, 0.8466, 0.7461, 0.8457, 
0.1708, 0.8573, 0.8250, 0.7314, 0.8308, 0.1683, 0.8711, 0.8427, 0.7453, 0.8440, 
0.1801, 0.8545, 0.8087, 0.7199, 0.8216, 0.1711, 0.8738, 0.8257, 0.7416, 0.8412, 
0.1757, 0.8578, 0.8159, 0.7257, 0.8259, 0.1745, 0.8704, 0.8334, 0.7380, 0.8378, 
0.1678, 0.8604, 0.8278, 0.7355, 0.8338, 0.1624, 0.8688, 0.8457, 0.7520, 0.8498, 
0.1634, 0.8635, 0.8302, 0.7410, 0.8381, 0.1589, 0.8788, 0.8433, 0.7576, 0.8534, 
0.1622, 0.8632, 0.8340, 0.7423, 0.8394, 0.1560, 0.8776, 0.8520, 0.7601, 0.8562, 
0.1592, 0.8660, 0.8354, 0.7465, 0.8424, 0.1597, 0.8773, 0.8504, 0.7565, 0.8526, 
0.1565, 0.8682, 0.8369, 0.7499, 0.8451, 0.1534, 0.8825, 0.8411, 0.7641, 0.8589, 
0.1556, 0.8680, 0.8409, 0.7509, 0.8459, 0.1569, 0.8784, 0.8556, 0.7595, 0.8553, 
0.1530, 0.8710, 0.8425, 0.7545, 0.8486, 0.1582, 0.8775, 0.8454, 0.7581, 0.8541, 
0.1533, 0.8702, 0.8436, 0.7540, 0.8482, 0.1527, 0.8765, 0.8578, 0.7645, 0.8595, 
0.1520, 0.8703, 0.8453, 0.7557, 0.8495, 0.1549, 0.8804, 0.8562, 0.7628, 0.8573, 
0.1504, 0.8734, 0.8447, 0.7578, 0.8512, 0.1524, 0.8848, 0.8412, 0.7660, 0.8598, 
0.1499, 0.8737, 0.8459, 0.7585, 0.8517, 0.1521, 0.8800, 0.8509, 0.7651, 0.8602, 
0.1504, 0.8726, 0.8451, 0.7580, 0.8511, 0.1487, 0.8867, 0.8529, 0.7711, 0.8635, 
0.1478, 0.8750, 0.8479, 0.7613, 0.8537, 0.1550, 0.8797, 0.8533, 0.7617, 0.8572, 
0.1451, 0.8767, 0.8504, 0.7650, 0.8565, 0.1539, 0.8783, 0.8561, 0.7631, 0.8583, 
0.1443, 0.8777, 0.8498, 0.7660, 0.8573, 0.1542, 0.8840, 0.8414, 0.7641, 0.8580, 
0.1448, 0.8771, 0.8496, 0.7655, 0.8568, 0.1483, 0.8859, 0.8568, 0.7708, 0.8639, 
0.1428, 0.8789, 0.8527, 0.7680, 0.8587, 0.1511, 0.8862, 0.8459, 0.7677, 0.8612, 
0.1414, 0.8803, 0.8528, 0.7700, 0.8601, 0.1510, 0.8811, 0.8521, 0.7671, 0.8612, 
0.1423, 0.8791, 0.8533, 0.7687, 0.8592, 0.1530, 0.8835, 0.8504, 0.7649, 0.8592, 
0.1395, 0.8812, 0.8553, 0.7726, 0.8620, 0.1506, 0.8860, 0.8563, 0.7690, 0.8616, 
0.1397, 0.8811, 0.8549, 0.7723, 0.8618, 0.1501, 0.8840, 0.8560, 0.7688, 0.8622, 
0.1390, 0.8822, 0.8558, 0.7731, 0.8625, 0.1485, 0.8856, 0.8565, 0.7706, 0.8637, 
0.1381, 0.8825, 0.8577, 0.7743, 0.8634, 0.1481, 0.8878, 0.8510, 0.7722, 0.8641, 
0.1377, 0.8833, 0.8562, 0.7749, 0.8638, 0.1526, 0.8827, 0.8528, 0.7646, 0.8597, 
0.1358, 0.8853, 0.8579, 0.7777, 0.8657, 0.1549, 0.8814, 0.8406, 0.7628, 0.8573, 
0.1384, 0.8836, 0.8552, 0.7743, 0.8631, 0.1482, 0.8892, 0.8527, 0.7721, 0.8641, 
0.1327, 0.8880, 0.8612, 0.7819, 0.8688, 0.1470, 0.8848, 0.8620, 0.7723, 0.8652, 
0.1326, 0.8878, 0.8614, 0.7821, 0.8689, 0.1468, 0.8868, 0.8560, 0.7736, 0.8654, 
0.1307, 0.8896, 0.8630, 0.7847, 0.8708, 0.1440, 0.8876, 0.8590, 0.7768, 0.8682, 
0.1300, 0.8896, 0.8657, 0.7858, 0.8715, 0.1502, 0.8876, 0.8423, 0.7689, 0.8620, 
0.1285, 0.8906, 0.8666, 0.7876, 0.8730, 0.1453, 0.8864, 0.8585, 0.7756, 0.8669, 
0.1304, 0.8902, 0.8642, 0.7852, 0.8711, 0.1455, 0.8909, 0.8516, 0.7753, 0.8668, 
0.1285, 0.8917, 0.8667, 0.7879, 0.8730, 0.1492, 0.8860, 0.8507, 0.7705, 0.8630, 
