train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2400, 0.8044, 0.7635, 0.6524, 0.7635, 0.2111, 0.8433, 0.7859, 0.6934, 0.8014, 
0.2032, 0.8327, 0.7915, 0.6917, 0.7985, 0.1929, 0.8467, 0.8313, 0.7139, 0.8195, 
0.1924, 0.8420, 0.8014, 0.7050, 0.8093, 0.2360, 0.8305, 0.7506, 0.6693, 0.7763, 
0.1821, 0.8471, 0.8161, 0.7170, 0.8195, 0.1914, 0.8520, 0.8390, 0.7162, 0.8209, 
0.1803, 0.8510, 0.8155, 0.7196, 0.8213, 0.2021, 0.8474, 0.8157, 0.7036, 0.8102, 
0.1787, 0.8527, 0.8141, 0.7220, 0.8229, 0.1699, 0.8594, 0.8501, 0.7417, 0.8424, 
0.1747, 0.8556, 0.8183, 0.7270, 0.8268, 0.1661, 0.8702, 0.8424, 0.7482, 0.8461, 
0.1666, 0.8596, 0.8290, 0.7369, 0.8350, 0.1620, 0.8788, 0.8268, 0.7541, 0.8503, 
0.1653, 0.8609, 0.8305, 0.7384, 0.8363, 0.1605, 0.8714, 0.8440, 0.7542, 0.8517, 
0.1629, 0.8632, 0.8325, 0.7414, 0.8386, 0.1680, 0.8710, 0.8454, 0.7460, 0.8442, 
0.1636, 0.8625, 0.8317, 0.7408, 0.8380, 0.1567, 0.8796, 0.8424, 0.7605, 0.8556, 
0.1624, 0.8661, 0.8293, 0.7426, 0.8392, 0.1565, 0.8771, 0.8479, 0.7601, 0.8557, 
0.1596, 0.8649, 0.8363, 0.7457, 0.8420, 0.1756, 0.8682, 0.8112, 0.7364, 0.8367, 
0.1665, 0.8628, 0.8257, 0.7375, 0.8350, 0.1650, 0.8775, 0.8286, 0.7498, 0.8472, 
0.1571, 0.8679, 0.8377, 0.7488, 0.8445, 0.1607, 0.8710, 0.8513, 0.7540, 0.8515, 
0.1608, 0.8655, 0.8339, 0.7442, 0.8407, 0.1614, 0.8728, 0.8473, 0.7534, 0.8508, 
0.1537, 0.8690, 0.8427, 0.7533, 0.8478, 0.1668, 0.8716, 0.8482, 0.7479, 0.8454, 
0.1543, 0.8704, 0.8402, 0.7531, 0.8473, 0.1542, 0.8769, 0.8525, 0.7632, 0.8581, 
0.1529, 0.8704, 0.8422, 0.7544, 0.8486, 0.1536, 0.8806, 0.8539, 0.7633, 0.8586, 
0.1501, 0.8717, 0.8464, 0.7583, 0.8515, 0.1577, 0.8768, 0.8529, 0.7590, 0.8545, 
0.1476, 0.8728, 0.8478, 0.7612, 0.8539, 0.1562, 0.8807, 0.8384, 0.7606, 0.8560, 
0.1460, 0.8743, 0.8498, 0.7632, 0.8555, 0.1540, 0.8832, 0.8390, 0.7640, 0.8582, 
0.1460, 0.8749, 0.8504, 0.7635, 0.8555, 0.1524, 0.8828, 0.8517, 0.7663, 0.8598, 
0.1459, 0.8755, 0.8492, 0.7636, 0.8556, 0.1538, 0.8828, 0.8465, 0.7645, 0.8584, 
0.1440, 0.8770, 0.8508, 0.7663, 0.8575, 0.1511, 0.8839, 0.8445, 0.7673, 0.8611, 
0.1436, 0.8777, 0.8515, 0.7670, 0.8579, 0.1492, 0.8848, 0.8506, 0.7703, 0.8630, 
0.1408, 0.8788, 0.8541, 0.7705, 0.8607, 0.1458, 0.8867, 0.8543, 0.7741, 0.8664, 
0.1412, 0.8799, 0.8530, 0.7701, 0.8603, 0.1493, 0.8820, 0.8567, 0.7692, 0.8629, 
0.1406, 0.8794, 0.8546, 0.7708, 0.8609, 0.1446, 0.8855, 0.8609, 0.7759, 0.8676, 
0.1385, 0.8811, 0.8565, 0.7737, 0.8630, 0.1480, 0.8839, 0.8535, 0.7716, 0.8642, 
0.1368, 0.8824, 0.8579, 0.7760, 0.8647, 0.1524, 0.8830, 0.8552, 0.7663, 0.8598, 
0.1373, 0.8824, 0.8580, 0.7754, 0.8642, 0.1486, 0.8851, 0.8536, 0.7709, 0.8636, 
0.1344, 0.8843, 0.8611, 0.7796, 0.8671, 0.1492, 0.8828, 0.8550, 0.7697, 0.8630, 
0.1357, 0.8831, 0.8587, 0.7777, 0.8658, 0.1482, 0.8839, 0.8531, 0.7714, 0.8640, 
0.1378, 0.8843, 0.8554, 0.7751, 0.8637, 0.1514, 0.8859, 0.8455, 0.7678, 0.8608, 
0.1369, 0.8845, 0.8576, 0.7765, 0.8646, 0.1425, 0.8888, 0.8632, 0.7788, 0.8697, 
0.1326, 0.8864, 0.8628, 0.7819, 0.8689, 0.1496, 0.8828, 0.8556, 0.7696, 0.8626, 
0.1309, 0.8874, 0.8640, 0.7842, 0.8706, 0.1431, 0.8873, 0.8638, 0.7777, 0.8691, 
0.1325, 0.8877, 0.8618, 0.7822, 0.8689, 0.1517, 0.8814, 0.8533, 0.7662, 0.8605, 
0.1300, 0.8891, 0.8642, 0.7856, 0.8715, 0.1464, 0.8859, 0.8558, 0.7735, 0.8658, 
0.1269, 0.8917, 0.8661, 0.7900, 0.8746, 0.1452, 0.8849, 0.8612, 0.7752, 0.8670, 
0.1258, 0.8924, 0.8687, 0.7916, 0.8757, 0.1443, 0.8888, 0.8589, 0.7764, 0.8679, 
0.1243, 0.8933, 0.8708, 0.7936, 0.8772, 0.1462, 0.8871, 0.8580, 0.7739, 0.8660, 
0.1231, 0.8944, 0.8707, 0.7952, 0.8784, 0.1451, 0.8863, 0.8636, 0.7758, 0.8671, 
0.1266, 0.8931, 0.8667, 0.7905, 0.8749, 0.1497, 0.8837, 0.8481, 0.7688, 0.8625, 
0.1236, 0.8952, 0.8711, 0.7946, 0.8779, 0.1472, 0.8886, 0.8478, 0.7730, 0.8650, 
0.1210, 0.8971, 0.8730, 0.7984, 0.8805, 0.1530, 0.8846, 0.8438, 0.7656, 0.8592, 
