train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2427, 0.8147, 0.7537, 0.6527, 0.7610, train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2384, 0.8187, 0.7566, 0.6568, 0.7650, 0.2128, 0.8493, 0.7956, 0.6947, 0.7999, 
0.2147, 0.8351, 0.7751, 0.6806, 0.7871, 0.2127, 0.8599, 0.7649, 0.6950, 0.7996, 
0.2050, 0.8410, 0.7832, 0.6918, 0.7966, 0.2039, 0.8560, 0.7900, 0.7039, 0.8084, 
0.1973, 0.8475, 0.7891, 0.7010, 0.8043, 0.1912, 0.8593, 0.8044, 0.7180, 0.8211, 
0.1902, 0.8525, 0.7959, 0.7096, 0.8114, 0.1847, 0.8694, 0.8142, 0.7277, 0.8275, 
0.1885, 0.8552, 0.7963, 0.7118, 0.8131, 0.1901, 0.8630, 0.8108, 0.7193, 0.8222, 
0.1868, 0.8545, 0.7988, 0.7136, 0.8147, 0.1868, 0.8708, 0.8064, 0.7254, 0.8260, 
0.1848, 0.8566, 0.8009, 0.7160, 0.8167, 0.1885, 0.8667, 0.8092, 0.7205, 0.8238, 
0.1832, 0.8578, 0.8043, 0.7181, 0.8184, 0.1852, 0.8630, 0.8130, 0.7252, 0.8271, 
0.1816, 0.8602, 0.8034, 0.7204, 0.8200, 0.1882, 0.8723, 0.7889, 0.7228, 0.8240, 
0.1768, 0.8630, 0.8096, 0.7265, 0.8247, 0.1733, 0.8771, 0.8182, 0.7409, 0.8390, 
0.1768, 0.8630, 0.8100, 0.7262, 0.8248, 0.1712, 0.8750, 0.8316, 0.7433, 0.8410, 
0.1743, 0.8645, 0.8123, 0.7292, 0.8273, 0.1755, 0.8777, 0.8237, 0.7391, 0.8367, 
0.1745, 0.8641, 0.8116, 0.7290, 0.8270, 0.1803, 0.8757, 0.8032, 0.7320, 0.8320, 
0.1713, 0.8674, 0.8146, 0.7331, 0.8302, 0.1739, 0.8762, 0.8282, 0.7401, 0.8384, 
0.1728, 0.8660, 0.8130, 0.7312, 0.8287, 0.1717, 0.8720, 0.8313, 0.7419, 0.8405, 
0.1711, 0.8676, 0.8140, 0.7331, 0.8304, 0.1694, 0.8777, 0.8254, 0.7453, 0.8429, 
0.1685, 0.8686, 0.8167, 0.7365, 0.8330, 0.1702, 0.8716, 0.8300, 0.7435, 0.8420, 
0.1676, 0.8704, 0.8178, 0.7377, 0.8339, 0.1734, 0.8792, 0.8066, 0.7408, 0.8389, 
0.1696, 0.8698, 0.8152, 0.7356, 0.8319, 0.1738, 0.8764, 0.8178, 0.7403, 0.8384, 
0.1679, 0.8697, 0.8176, 0.7378, 0.8337, 0.1719, 0.8739, 0.8286, 0.7427, 0.8403, 
