train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2348, 0.8101, 0.7637, 0.6520, 0.7692, 0.2033, 0.8408, 0.8117, 0.6981, 0.8093, 
0.2016, 0.8371, 0.7895, 0.6881, 0.8002, 0.2065, 0.8361, 0.8216, 0.6939, 0.8060, 
0.1964, 0.8405, 0.7950, 0.6945, 0.8053, 0.1779, 0.8650, 0.8268, 0.7309, 0.8345, 
0.1847, 0.8492, 0.8063, 0.7089, 0.8169, 0.1748, 0.8723, 0.8130, 0.7344, 0.8375, 
0.1812, 0.8529, 0.8075, 0.7133, 0.8204, 0.1796, 0.8669, 0.8129, 0.7288, 0.8327, 
0.1829, 0.8533, 0.8040, 0.7118, 0.8187, 0.1847, 0.8695, 0.7951, 0.7229, 0.8276, 
0.1789, 0.8553, 0.8112, 0.7167, 0.8227, 0.1711, 0.8700, 0.8241, 0.7387, 0.8412, 
0.1777, 0.8562, 0.8099, 0.7181, 0.8238, 0.1749, 0.8692, 0.8263, 0.7348, 0.8374, 
0.1699, 0.8596, 0.8192, 0.7277, 0.8316, 0.1743, 0.8551, 0.8361, 0.7339, 0.8380, 
0.1777, 0.8578, 0.8078, 0.7188, 0.8238, 0.1634, 0.8749, 0.8457, 0.7485, 0.8488, 
0.1699, 0.8616, 0.8189, 0.7277, 0.8317, 0.1808, 0.8645, 0.8055, 0.7284, 0.8315, 
0.1695, 0.8612, 0.8205, 0.7284, 0.8321, 0.1630, 0.8770, 0.8283, 0.7490, 0.8493, 
0.1626, 0.8657, 0.8278, 0.7375, 0.8389, 0.1601, 0.8795, 0.8347, 0.7531, 0.8521, 
0.1653, 0.8647, 0.8247, 0.7342, 0.8362, 0.1655, 0.8787, 0.8192, 0.7470, 0.8467, 
0.1625, 0.8654, 0.8275, 0.7375, 0.8391, 0.1605, 0.8786, 0.8446, 0.7531, 0.8517, 
0.1615, 0.8669, 0.8280, 0.7386, 0.8400, 0.1615, 0.8780, 0.8356, 0.7520, 0.8507, 
0.1588, 0.8693, 0.8302, 0.7429, 0.8428, 0.1596, 0.8840, 0.8317, 0.7552, 0.8526, 
0.1591, 0.8692, 0.8294, 0.7421, 0.8424, 0.1606, 0.8802, 0.8420, 0.7530, 0.8516, 
0.1574, 0.8699, 0.8329, 0.7443, 0.8441, 0.1608, 0.8766, 0.8411, 0.7521, 0.8514, 
0.1561, 0.8707, 0.8351, 0.7461, 0.8455, 0.1558, 0.8808, 0.8430, 0.7590, 0.8564, 
0.1550, 0.8722, 0.8346, 0.7475, 0.8465, 0.1555, 0.8815, 0.8402, 0.7596, 0.8568, 
0.1554, 0.8721, 0.8344, 0.7470, 0.8461, 0.1706, 0.8722, 0.8270, 0.7410, 0.8417, 
0.1622, 0.8703, 0.8239, 0.7388, 0.8393, 0.1591, 0.8784, 0.8435, 0.7546, 0.8532, 
0.1525, 0.8740, 0.8368, 0.7505, 0.8490, 0.1537, 0.8803, 0.8482, 0.7619, 0.8585, 
0.1509, 0.8750, 0.8384, 0.7529, 0.8506, 0.1511, 0.8836, 0.8495, 0.7655, 0.8611, 
0.1517, 0.8747, 0.8379, 0.7520, 0.8498, 0.1595, 0.8807, 0.8346, 0.7551, 0.8527, 
0.1488, 0.8766, 0.8411, 0.7560, 0.8527, 0.1531, 0.8833, 0.8452, 0.7623, 0.8591, 
0.1482, 0.8778, 0.8401, 0.7565, 0.8533, 0.1539, 0.8812, 0.8440, 0.7615, 0.8583, 
0.1477, 0.8780, 0.8407, 0.7574, 0.8538, 0.1558, 0.8822, 0.8452, 0.7591, 0.8564, 
0.1464, 0.8787, 0.8431, 0.7591, 0.8551, 0.1519, 0.8812, 0.8516, 0.7643, 0.8603, 
0.1463, 0.8791, 0.8430, 0.7596, 0.8552, 0.1509, 0.8849, 0.8490, 0.7657, 0.8613, 
0.1473, 0.8795, 0.8410, 0.7580, 0.8542, 0.1555, 0.8795, 0.8468, 0.7592, 0.8567, 
0.1451, 0.8810, 0.8445, 0.7612, 0.8563, 0.1484, 0.8856, 0.8526, 0.7681, 0.8638, 
0.1435, 0.8803, 0.8450, 0.7629, 0.8580, 0.1555, 0.8847, 0.8412, 0.7598, 0.8567, 
0.1412, 0.8830, 0.8476, 0.7661, 0.8603, 0.1501, 0.8847, 0.8485, 0.7660, 0.8621, 
0.1411, 0.8834, 0.8481, 0.7666, 0.8604, 0.1557, 0.8829, 0.8381, 0.7596, 0.8565, 
0.1404, 0.8844, 0.8478, 0.7674, 0.8611, 0.1514, 0.8867, 0.8406, 0.7653, 0.8608, 
0.1387, 0.8854, 0.8500, 0.7699, 0.8628, 0.1503, 0.8859, 0.8457, 0.7671, 0.8619, 
0.1402, 0.8842, 0.8504, 0.7673, 0.8613, 0.1524, 0.8834, 0.8498, 0.7639, 0.8598, 
0.1389, 0.8849, 0.8507, 0.7695, 0.8626, 0.1518, 0.8828, 0.8481, 0.7638, 0.8604, 
0.1375, 0.8864, 0.8520, 0.7716, 0.8640, 0.1538, 0.8814, 0.8485, 0.7617, 0.8584, 
0.1371, 0.8869, 0.8527, 0.7722, 0.8644, 0.1518, 0.8855, 0.8430, 0.7646, 0.8604, 
