train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2218, 0.8212, 0.7714, 0.6663, 0.7801, 0.1939, 0.8409, 0.8135, 0.6988, 0.8085, 
0.1940, 0.8403, 0.7959, 0.6966, 0.8067, 0.1908, 0.8290, 0.8154, 0.7004, 0.8118, 
0.1857, 0.8481, 0.8041, 0.7067, 0.8150, 0.1740, 0.8605, 0.8025, 0.7240, 0.8282, 
0.1796, 0.8513, 0.8104, 0.7147, 0.8211, 0.1858, 0.8516, 0.7975, 0.7092, 0.8164, 
0.1741, 0.8557, 0.8145, 0.7219, 0.8266, 0.1671, 0.8580, 0.8199, 0.7316, 0.8351, 
0.1695, 0.8594, 0.8199, 0.7276, 0.8311, 0.1653, 0.8624, 0.8264, 0.7348, 0.8368, 
0.1696, 0.8603, 0.8189, 0.7277, 0.8310, 0.1693, 0.8597, 0.8310, 0.7299, 0.8329, 
0.1640, 0.8636, 0.8255, 0.7348, 0.8365, 0.1859, 0.8498, 0.8244, 0.7100, 0.8162, 
0.1638, 0.8640, 0.8261, 0.7351, 0.8368, 0.1599, 0.8651, 0.8290, 0.7418, 0.8423, 
0.1618, 0.8653, 0.8286, 0.7377, 0.8388, 0.1526, 0.8687, 0.8423, 0.7510, 0.8495, 
0.1584, 0.8678, 0.8317, 0.7420, 0.8421, 0.1529, 0.8715, 0.8357, 0.7506, 0.8492, 
0.1576, 0.8688, 0.8309, 0.7434, 0.8429, 0.1515, 0.8750, 0.8348, 0.7532, 0.8506, 
0.1576, 0.8693, 0.8307, 0.7434, 0.8429, 0.1570, 0.8697, 0.8337, 0.7456, 0.8451, 
0.1569, 0.8694, 0.8344, 0.7445, 0.8437, 0.1627, 0.8635, 0.8389, 0.7376, 0.8395, 
0.1571, 0.8683, 0.8324, 0.7439, 0.8435, 0.1658, 0.8679, 0.8133, 0.7348, 0.8363, 
0.1549, 0.8707, 0.8345, 0.7467, 0.8456, 0.1659, 0.8621, 0.8272, 0.7344, 0.8362, 
0.1525, 0.8725, 0.8371, 0.7500, 0.8480, 0.1490, 0.8737, 0.8466, 0.7565, 0.8531, 
0.1509, 0.8737, 0.8388, 0.7521, 0.8496, 0.1498, 0.8775, 0.8334, 0.7557, 0.8523, 
0.1495, 0.8747, 0.8397, 0.7539, 0.8510, 0.1522, 0.8720, 0.8449, 0.7519, 0.8499, 
0.1500, 0.8751, 0.8400, 0.7535, 0.8505, 0.1491, 0.8765, 0.8327, 0.7562, 0.8530, 
0.1487, 0.8757, 0.8412, 0.7553, 0.8518, 0.1472, 0.8736, 0.8490, 0.7583, 0.8549, 
0.1479, 0.8768, 0.8410, 0.7564, 0.8526, 0.1474, 0.8754, 0.8443, 0.7586, 0.8547, 
0.1463, 0.8779, 0.8431, 0.7584, 0.8543, 0.1507, 0.8709, 0.8429, 0.7540, 0.8514, 
0.1478, 0.8778, 0.8400, 0.7565, 0.8527, 0.1448, 0.8800, 0.8453, 0.7616, 0.8573, 
0.1439, 0.8796, 0.8460, 0.7619, 0.8566, 0.1478, 0.8752, 0.8427, 0.7578, 0.8543, 
0.1442, 0.8794, 0.8462, 0.7612, 0.8563, 0.1498, 0.8769, 0.8433, 0.7553, 0.8523, 
0.1426, 0.8805, 0.8468, 0.7635, 0.8579, 0.1428, 0.8808, 0.8493, 0.7649, 0.8593, 
0.1419, 0.8814, 0.8471, 0.7644, 0.8586, 0.1455, 0.8787, 0.8491, 0.7608, 0.8566, 
0.1415, 0.8821, 0.8479, 0.7651, 0.8590, 0.1440, 0.8761, 0.8502, 0.7631, 0.8581, 
0.1392, 0.8842, 0.8493, 0.7683, 0.8613, 0.1436, 0.8810, 0.8421, 0.7640, 0.8585, 
0.1384, 0.8842, 0.8498, 0.7693, 0.8621, 0.1421, 0.8804, 0.8505, 0.7657, 0.8600, 
0.1368, 0.8857, 0.8513, 0.7716, 0.8637, 0.1438, 0.8797, 0.8447, 0.7639, 0.8583, 
0.1366, 0.8859, 0.8524, 0.7720, 0.8639, 0.1447, 0.8789, 0.8415, 0.7625, 0.8574, 
0.1362, 0.8866, 0.8523, 0.7726, 0.8643, 0.1467, 0.8778, 0.8408, 0.7596, 0.8554, 
0.1353, 0.8874, 0.8536, 0.7736, 0.8652, 0.1424, 0.8826, 0.8415, 0.7659, 0.8597, 
0.1328, 0.8894, 0.8560, 0.7773, 0.8677, 0.1410, 0.8799, 0.8560, 0.7671, 0.8611, 
0.1324, 0.8900, 0.8568, 0.7781, 0.8682, 0.1504, 0.8786, 0.8292, 0.7548, 0.8517, 
0.1336, 0.8894, 0.8553, 0.7761, 0.8670, 0.1397, 0.8831, 0.8475, 0.7689, 0.8624, 
0.1296, 0.8923, 0.8580, 0.7818, 0.8709, 0.1398, 0.8820, 0.8523, 0.7690, 0.8623, 
0.1292, 0.8923, 0.8591, 0.7824, 0.8714, 0.1417, 0.8785, 0.8546, 0.7664, 0.8604, 
0.1284, 0.8931, 0.8601, 0.7833, 0.8721, 0.1388, 0.8828, 0.8588, 0.7699, 0.8633, 
0.1282, 0.8938, 0.8598, 0.7837, 0.8723, 0.1424, 0.8792, 0.8495, 0.7656, 0.8597, 
0.1264, 0.8951, 0.8620, 0.7864, 0.8741, 0.1422, 0.8835, 0.8397, 0.7663, 0.8599, 
0.1236, 0.8975, 0.8648, 0.7905, 0.8769, 0.1387, 0.8841, 0.8487, 0.7709, 0.8634, 
0.1243, 0.8972, 0.8646, 0.7893, 0.8762, 0.1399, 0.8834, 0.8488, 0.7690, 0.8622, 
0.1246, 0.8973, 0.8639, 0.7891, 0.8759, 0.1448, 0.8812, 0.8422, 0.7622, 0.8573, 
0.1216, 0.8997, 0.8669, 0.7934, 0.8789, 0.1396, 0.8821, 0.8501, 0.7692, 0.8625, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.1236, 0.8975, 0.8643, 0.7904, 0.8769, 0.1420, 0.8836, 0.8429, 0.7665, 0.8601, 
0.1198, 0.9004, 0.8691, 0.7959, 0.8807, 0.1400, 0.8826, 0.8514, 0.7690, 0.8621, 
0.1178, 0.9031, 0.8710, 0.7988, 0.8827, 0.1411, 0.8781, 0.8573, 0.7669, 0.8610, 
0.1179, 0.9027, 0.8707, 0.7988, 0.8826, 0.1416, 0.8784, 0.8534, 0.7664, 0.8605, 
0.1172, 0.9037, 0.8712, 0.7998, 0.8833, 0.1421, 0.8771, 0.8533, 0.7656, 0.8600, 
