train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2269, 0.8143, 0.7752, 0.6662, 0.7750, 0.1921, 0.8415, 0.8118, 0.7101, 0.8129, 
0.2038, 0.8342, 0.7928, 0.6920, 0.7969, 0.1852, 0.8574, 0.8015, 0.7206, 0.8198, 
0.1956, 0.8398, 0.8005, 0.7033, 0.8051, 0.1769, 0.8585, 0.8235, 0.7308, 0.8279, 
0.1912, 0.8450, 0.8040, 0.7083, 0.8093, 0.3368, 0.7939, 0.6331, 0.5290, 0.6663, 
0.1908, 0.8456, 0.8037, 0.7089, 0.8097, 0.1803, 0.8634, 0.8175, 0.7269, 0.8244, 
0.1824, 0.8487, 0.8170, 0.7189, 0.8181, 0.1702, 0.8680, 0.8237, 0.7397, 0.8345, 
0.1754, 0.8544, 0.8230, 0.7274, 0.8251, 0.1668, 0.8740, 0.8212, 0.7435, 0.8379, 
0.1732, 0.8561, 0.8247, 0.7300, 0.8272, 0.1622, 0.8673, 0.8437, 0.7480, 0.8425, 
0.1720, 0.8565, 0.8259, 0.7319, 0.8284, 0.1751, 0.8705, 0.8104, 0.7342, 0.8296, 
0.1695, 0.8608, 0.8290, 0.7357, 0.8310, 0.1559, 0.8716, 0.8460, 0.7563, 0.8488, 
0.1681, 0.8615, 0.8282, 0.7367, 0.8323, 0.1644, 0.8727, 0.8399, 0.7467, 0.8403, 
0.1638, 0.8642, 0.8351, 0.7426, 0.8366, 0.1600, 0.8761, 0.8382, 0.7532, 0.8448, 
0.1601, 0.8659, 0.8387, 0.7470, 0.8403, 0.1543, 0.8785, 0.8338, 0.7591, 0.8504, 
0.1593, 0.8660, 0.8390, 0.7480, 0.8412, 0.1550, 0.8791, 0.8347, 0.7578, 0.8497, 
0.1567, 0.8694, 0.8422, 0.7513, 0.8438, 0.1558, 0.8802, 0.8386, 0.7583, 0.8489, 
0.1557, 0.8680, 0.8427, 0.7523, 0.8447, 0.1521, 0.8794, 0.8383, 0.7624, 0.8526, 
0.1563, 0.8683, 0.8416, 0.7519, 0.8441, 0.1542, 0.8755, 0.8482, 0.7589, 0.8506, 
0.1542, 0.8710, 0.8434, 0.7547, 0.8463, 0.1572, 0.8744, 0.8402, 0.7553, 0.8475, 
0.1520, 0.8727, 0.8452, 0.7575, 0.8484, 0.1546, 0.8787, 0.8388, 0.7592, 0.8501, 
0.1532, 0.8719, 0.8451, 0.7564, 0.8473, 0.1484, 0.8790, 0.8534, 0.7666, 0.8564, 
0.1502, 0.8727, 0.8480, 0.7600, 0.8502, 0.1507, 0.8739, 0.8579, 0.7633, 0.8541, 
0.1490, 0.8747, 0.8475, 0.7615, 0.8514, 0.1535, 0.8796, 0.8438, 0.7608, 0.8512, 
0.1500, 0.8738, 0.8474, 0.7602, 0.8504, 0.1583, 0.8759, 0.8467, 0.7556, 0.8464, 
0.1479, 0.8756, 0.8487, 0.7628, 0.8525, 0.1510, 0.8803, 0.8451, 0.7637, 0.8537, 
0.1469, 0.8766, 0.8496, 0.7643, 0.8535, 0.1479, 0.8803, 0.8548, 0.7676, 0.8569, 
0.1483, 0.8757, 0.8490, 0.7629, 0.8521, 0.1528, 0.8783, 0.8528, 0.7612, 0.8519, 
0.1449, 0.8786, 0.8511, 0.7670, 0.8555, 0.1467, 0.8792, 0.8607, 0.7698, 0.8580, 
0.1447, 0.8788, 0.8524, 0.7676, 0.8557, 0.1531, 0.8757, 0.8522, 0.7608, 0.8516, 
0.1476, 0.8766, 0.8498, 0.7636, 0.8529, 0.1540, 0.8786, 0.8405, 0.7609, 0.8507, 
0.1448, 0.8789, 0.8527, 0.7675, 0.8556, 0.1442, 0.8808, 0.8584, 0.7719, 0.8605, 
0.1456, 0.8789, 0.8499, 0.7665, 0.8549, 0.1486, 0.8778, 0.8548, 0.7669, 0.8561, 
0.1426, 0.8798, 0.8546, 0.7704, 0.8578, 0.1552, 0.8735, 0.8544, 0.7576, 0.8495, 
0.1409, 0.8823, 0.8560, 0.7725, 0.8595, 0.1463, 0.8776, 0.8614, 0.7684, 0.8584, 
0.1400, 0.8819, 0.8563, 0.7736, 0.8604, 0.1459, 0.8820, 0.8529, 0.7703, 0.8588, 
0.1407, 0.8812, 0.8552, 0.7727, 0.8597, 0.1604, 0.8750, 0.8343, 0.7527, 0.8443, 
