train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2255, 0.8178, 0.7764, 0.6709, 0.7794, 0.2145, 0.8443, 0.7815, 0.6894, 0.7962, 
0.1948, 0.8419, 0.7999, 0.7028, 0.8074, 0.1965, 0.8596, 0.8049, 0.7115, 0.8141, 
0.1933, 0.8434, 0.8032, 0.7049, 0.8090, 0.1819, 0.8636, 0.8142, 0.7270, 0.8285, 
0.1812, 0.8516, 0.8157, 0.7192, 0.8208, 0.1778, 0.8683, 0.8202, 0.7331, 0.8327, 
0.1786, 0.8541, 0.8170, 0.7230, 0.8233, 0.1668, 0.8712, 0.8432, 0.7460, 0.8437, 
0.1755, 0.8562, 0.8183, 0.7271, 0.8264, 0.1773, 0.8686, 0.8132, 0.7341, 0.8331, 
0.1719, 0.8581, 0.8261, 0.7307, 0.8300, 0.1708, 0.8730, 0.8173, 0.7423, 0.8396, 
0.1674, 0.8612, 0.8275, 0.7368, 0.8345, 0.1667, 0.8749, 0.8293, 0.7468, 0.8438, 
0.1676, 0.8609, 0.8282, 0.7362, 0.8343, 0.1651, 0.8739, 0.8428, 0.7487, 0.8454, 
0.1649, 0.8633, 0.8309, 0.7399, 0.8370, 0.1590, 0.8752, 0.8493, 0.7557, 0.8514, 
0.1628, 0.8660, 0.8319, 0.7429, 0.8390, 0.1602, 0.8743, 0.8403, 0.7546, 0.8501, 
0.1570, 0.8672, 0.8404, 0.7501, 0.8448, 0.1579, 0.8770, 0.8493, 0.7580, 0.8525, 
0.1537, 0.8707, 0.8426, 0.7543, 0.8481, 0.1492, 0.8839, 0.8513, 0.7688, 0.8613, 
0.1545, 0.8704, 0.8417, 0.7536, 0.8474, 0.1514, 0.8824, 0.8503, 0.7659, 0.8590, 
0.1552, 0.8697, 0.8413, 0.7527, 0.8466, 0.1572, 0.8760, 0.8500, 0.7581, 0.8532, 
0.1523, 0.8709, 0.8453, 0.7562, 0.8495, 0.1523, 0.8827, 0.8473, 0.7646, 0.8581, 
0.1495, 0.8739, 0.8485, 0.7599, 0.8523, 0.1550, 0.8789, 0.8538, 0.7613, 0.8554, 
0.1509, 0.8731, 0.8453, 0.7580, 0.8509, 0.1475, 0.8796, 0.8621, 0.7702, 0.8629, 
0.1472, 0.8756, 0.8500, 0.7632, 0.8546, 0.1471, 0.8848, 0.8578, 0.7717, 0.8633, 
0.1459, 0.8764, 0.8516, 0.7647, 0.8559, 0.1525, 0.8804, 0.8522, 0.7647, 0.8579, 
0.1503, 0.8756, 0.8437, 0.7598, 0.8514, 0.1605, 0.8801, 0.8341, 0.7550, 0.8498, 
0.1462, 0.8764, 0.8501, 0.7647, 0.8556, 0.1499, 0.8833, 0.8520, 0.7679, 0.8604, 
0.1446, 0.8784, 0.8510, 0.7667, 0.8572, 0.1516, 0.8847, 0.8449, 0.7661, 0.8588, 
0.1413, 0.8803, 0.8546, 0.7711, 0.8605, 0.1485, 0.8833, 0.8519, 0.7697, 0.8619, 
0.1423, 0.8797, 0.8532, 0.7694, 0.8595, 0.1568, 0.8764, 0.8429, 0.7592, 0.8536, 
0.1416, 0.8794, 0.8550, 0.7707, 0.8602, 0.1455, 0.8878, 0.8555, 0.7735, 0.8648, 
0.1386, 0.8820, 0.8579, 0.7745, 0.8632, 0.1428, 0.8866, 0.8622, 0.7770, 0.8676, 
0.1386, 0.8825, 0.8580, 0.7745, 0.8632, 0.1471, 0.8830, 0.8596, 0.7718, 0.8632, 
0.1377, 0.8836, 0.8573, 0.7760, 0.8641, 0.1491, 0.8831, 0.8568, 0.7696, 0.8612, 
0.1366, 0.8842, 0.8587, 0.7775, 0.8651, 0.1501, 0.8850, 0.8512, 0.7687, 0.8603, 
0.1366, 0.8845, 0.8602, 0.7775, 0.8652, 0.1476, 0.8845, 0.8593, 0.7714, 0.8627, 
0.1362, 0.8848, 0.8598, 0.7781, 0.8656, 0.1416, 0.8887, 0.8622, 0.7795, 0.8688, 
0.1341, 0.8863, 0.8624, 0.7807, 0.8676, 0.1482, 0.8797, 0.8602, 0.7701, 0.8622, 
0.1330, 0.8869, 0.8630, 0.7822, 0.8687, 0.1414, 0.8902, 0.8658, 0.7792, 0.8690, 
0.1319, 0.8878, 0.8648, 0.7840, 0.8698, 0.1488, 0.8835, 0.8580, 0.7700, 0.8615, 
0.1308, 0.8887, 0.8656, 0.7855, 0.8710, 0.1493, 0.8844, 0.8488, 0.7691, 0.8611, 
0.1305, 0.8886, 0.8657, 0.7855, 0.8713, 0.1451, 0.8880, 0.8581, 0.7760, 0.8653, 
0.1278, 0.8922, 0.8677, 0.7896, 0.8740, 0.1423, 0.8893, 0.8554, 0.7785, 0.8681, 
0.1288, 0.8911, 0.8667, 0.7883, 0.8730, 0.1501, 0.8859, 0.8513, 0.7688, 0.8603, 
0.1281, 0.8917, 0.8684, 0.7893, 0.8737, 0.1495, 0.8815, 0.8556, 0.7680, 0.8609, 
