train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2324, 0.8116, 0.7721, 0.6631, 0.7725, 0.1931, 0.8505, 0.8036, 0.7132, 0.8176, 
0.1979, 0.8397, 0.7946, 0.6998, 0.8041, 0.2179, 0.8543, 0.7868, 0.6794, 0.7929, 
0.1883, 0.8463, 0.8063, 0.7111, 0.8137, 0.2038, 0.8400, 0.8106, 0.6997, 0.8067, 
0.1826, 0.8488, 0.8161, 0.7172, 0.8194, 0.1809, 0.8652, 0.8199, 0.7295, 0.8296, 
0.1789, 0.8533, 0.8160, 0.7228, 0.8230, 0.1666, 0.8748, 0.8225, 0.7468, 0.8438, 
0.1758, 0.8543, 0.8223, 0.7262, 0.8261, 0.1724, 0.8588, 0.8379, 0.7388, 0.8380, 
0.1681, 0.8604, 0.8272, 0.7359, 0.8338, 0.1647, 0.8749, 0.8262, 0.7491, 0.8457, 
0.1665, 0.8611, 0.8298, 0.7383, 0.8354, 0.1636, 0.8749, 0.8276, 0.7502, 0.8468, 
0.1655, 0.8618, 0.8322, 0.7398, 0.8364, 0.1610, 0.8782, 0.8437, 0.7564, 0.8511, 
0.1617, 0.8648, 0.8352, 0.7445, 0.8401, 0.1577, 0.8807, 0.8429, 0.7581, 0.8527, 
0.1645, 0.8639, 0.8319, 0.7413, 0.8374, 0.1620, 0.8736, 0.8483, 0.7523, 0.8483, 
0.1561, 0.8687, 0.8411, 0.7512, 0.8458, 0.1565, 0.8801, 0.8409, 0.7602, 0.8539, 
0.1539, 0.8715, 0.8420, 0.7541, 0.8479, 0.1595, 0.8760, 0.8490, 0.7558, 0.8509, 
0.1584, 0.8684, 0.8375, 0.7489, 0.8434, 0.1673, 0.8757, 0.8355, 0.7474, 0.8431, 
0.1563, 0.8697, 0.8405, 0.7515, 0.8455, 0.1526, 0.8822, 0.8443, 0.7636, 0.8577, 
0.1515, 0.8720, 0.8462, 0.7573, 0.8503, 0.1562, 0.8787, 0.8458, 0.7604, 0.8541, 
0.1523, 0.8715, 0.8444, 0.7565, 0.8495, 0.1537, 0.8822, 0.8447, 0.7635, 0.8566, 
0.1489, 0.8744, 0.8464, 0.7608, 0.8529, 0.1483, 0.8814, 0.8623, 0.7694, 0.8621, 
0.1472, 0.8743, 0.8509, 0.7627, 0.8546, 0.1602, 0.8724, 0.8558, 0.7541, 0.8501, 
0.1479, 0.8743, 0.8495, 0.7622, 0.8539, 0.1494, 0.8846, 0.8511, 0.7692, 0.8609, 
0.1477, 0.8752, 0.8485, 0.7625, 0.8541, 0.1464, 0.8817, 0.8648, 0.7720, 0.8640, 
0.1435, 0.8791, 0.8532, 0.7684, 0.8583, 0.1465, 0.8857, 0.8550, 0.7725, 0.8638, 
0.1427, 0.8794, 0.8541, 0.7691, 0.8591, 0.1554, 0.8738, 0.8574, 0.7604, 0.8549, 
0.1416, 0.8796, 0.8538, 0.7706, 0.8602, 0.1543, 0.8835, 0.8405, 0.7632, 0.8561, 
0.1426, 0.8798, 0.8536, 0.7698, 0.8592, 0.1453, 0.8808, 0.8658, 0.7734, 0.8651, 
0.1408, 0.8808, 0.8559, 0.7715, 0.8610, 0.1489, 0.8764, 0.8627, 0.7684, 0.8615, 
0.1406, 0.8815, 0.8560, 0.7718, 0.8612, 0.1544, 0.8861, 0.8364, 0.7639, 0.8560, 
0.1416, 0.8816, 0.8546, 0.7709, 0.8602, 0.1458, 0.8849, 0.8552, 0.7738, 0.8646, 
0.1388, 0.8834, 0.8573, 0.7748, 0.8630, 0.1444, 0.8867, 0.8608, 0.7751, 0.8659, 
0.1377, 0.8842, 0.8573, 0.7759, 0.8641, 0.1464, 0.8872, 0.8537, 0.7728, 0.8640, 
0.1365, 0.8844, 0.8598, 0.7774, 0.8653, 0.1448, 0.8857, 0.8636, 0.7741, 0.8655, 
0.1345, 0.8858, 0.8613, 0.7801, 0.8673, 0.1445, 0.8861, 0.8572, 0.7747, 0.8658, 
0.1315, 0.8882, 0.8626, 0.7840, 0.8703, 0.1501, 0.8821, 0.8491, 0.7679, 0.8602, 
0.1329, 0.8876, 0.8624, 0.7825, 0.8689, 0.1459, 0.8880, 0.8536, 0.7737, 0.8644, 
0.1331, 0.8878, 0.8635, 0.7825, 0.8687, 0.1468, 0.8851, 0.8604, 0.7725, 0.8636, 
0.1348, 0.8863, 0.8607, 0.7799, 0.8670, 0.1484, 0.8837, 0.8513, 0.7707, 0.8619, 
0.1290, 0.8905, 0.8675, 0.7877, 0.8727, 0.1435, 0.8869, 0.8635, 0.7762, 0.8668, 
0.1309, 0.8902, 0.8656, 0.7857, 0.8709, 0.1491, 0.8780, 0.8674, 0.7688, 0.8612, 
0.1265, 0.8931, 0.8698, 0.7917, 0.8753, 0.1514, 0.8837, 0.8519, 0.7677, 0.8590, 
0.1290, 0.8911, 0.8671, 0.7881, 0.8727, 0.1453, 0.8845, 0.8569, 0.7742, 0.8650, 
