train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2281, 0.8151, 0.7773, 0.6656, 0.7751, 0.1970, 0.8376, 0.8246, 0.7070, 0.8136, 
0.1946, 0.8404, 0.8052, 0.7028, 0.8074, train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2012, 0.8368, 0.7952, 0.6948, 0.8007, 0.2079, 0.8475, 0.7841, 0.6970, 0.8025, 
0.1947, 0.8427, 0.8012, 0.7034, 0.8071, 0.1894, 0.8605, 0.8170, 0.7180, 0.8210, 
0.1912, 0.8469, 0.8025, 0.7072, 0.8106, train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.1931, 0.8423, 0.8049, 0.7046, 0.8087, 0.1819, 0.8525, 0.8326, 0.7257, 0.8284, 
0.1825, 0.8502, 0.8149, 0.7176, 0.8193, 0.1877, 0.8522, 0.8238, 0.7171, 0.8227, 
0.1814, 0.8518, 0.8140, 0.7192, 0.8204, 0.1746, 0.8680, 0.8197, 0.7374, 0.8358, 
0.1725, 0.8577, 0.8249, 0.7304, 0.8293, 0.1763, 0.8620, 0.8378, 0.7331, 0.8341, 
0.1741, 0.8576, 0.8225, 0.7281, 0.8277, 0.1656, 0.8730, 0.8330, 0.7469, 0.8448, 
0.1692, 0.8606, 0.8278, 0.7343, 0.8325, 0.1642, 0.8749, 0.8342, 0.7492, 0.8462, 
0.1684, 0.8614, 0.8279, 0.7351, 0.8334, 0.1660, 0.8734, 0.8370, 0.7466, 0.8443, 
0.1621, 0.8649, 0.8350, 0.7432, 0.8397, 0.1627, 0.8788, 0.8291, 0.7513, 0.8476, 
0.1607, 0.8658, 0.8376, 0.7448, 0.8411, 0.1557, 0.8779, 0.8518, 0.7594, 0.8546, 
0.1580, 0.8695, 0.8381, 0.7490, 0.8438, 0.1571, 0.8811, 0.8362, 0.7592, 0.8532, 
0.1624, 0.8653, 0.8354, 0.7434, 0.8393, 0.1638, 0.8770, 0.8363, 0.7511, 0.8465, 
