train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2272, 0.8159, 0.7704, 0.6669, 0.7762, 0.2247, 0.8058, 0.7858, 0.6729, 0.7862, 
0.2010, 0.8385, 0.7928, 0.6953, 0.8010, 0.2133, 0.8456, 0.8005, 0.6918, 0.7972, 
0.1974, 0.8398, 0.7950, 0.7004, 0.8045, 0.1787, 0.8673, 0.8120, 0.7315, 0.8318, 
0.1857, 0.8499, 0.8072, 0.7146, 0.8162, 0.1803, 0.8559, 0.8246, 0.7279, 0.8301, 
0.1841, 0.8512, 0.8101, 0.7162, 0.8177, 0.1833, 0.8613, 0.8163, 0.7259, 0.8277, 
0.1776, 0.8564, 0.8161, 0.7240, 0.8243, 0.2052, 0.8372, 0.8358, 0.6988, 0.8052, 
0.1742, 0.8558, 0.8226, 0.7277, 0.8277, 0.1952, 0.8504, 0.8347, 0.7118, 0.8152, 
0.1746, 0.8560, 0.8220, 0.7273, 0.8272, 0.1733, 0.8739, 0.8162, 0.7395, 0.8372, 
0.1676, 0.8619, 0.8280, 0.7364, 0.8342, 0.1673, 0.8745, 0.8163, 0.7459, 0.8431, 
0.1686, 0.8628, 0.8237, 0.7358, 0.8332, 0.1816, 0.8521, 0.8328, 0.7264, 0.8287, 
0.1653, 0.8640, 0.8308, 0.7398, 0.8365, 0.1724, 0.8681, 0.8431, 0.7400, 0.8385, 
0.1630, 0.8666, 0.8331, 0.7427, 0.8388, 0.1637, 0.8768, 0.8313, 0.7506, 0.8466, 
0.1603, 0.8670, 0.8349, 0.7459, 0.8415, 0.1637, 0.8745, 0.8322, 0.7504, 0.8467, 
0.1642, 0.8656, 0.8299, 0.7417, 0.8376, 0.1745, 0.8648, 0.8400, 0.7369, 0.8358, 
0.1597, 0.8674, 0.8379, 0.7469, 0.8420, 0.1649, 0.8630, 0.8496, 0.7473, 0.8454, 
0.1589, 0.8668, 0.8380, 0.7474, 0.8429, 0.1618, 0.8714, 0.8458, 0.7494, 0.8491, 
0.1544, 0.8712, 0.8414, 0.7534, 0.8473, 0.1532, 0.8833, 0.8465, 0.7632, 0.8572, 
0.1520, 0.8738, 0.8422, 0.7571, 0.8498, 0.1524, 0.8801, 0.8541, 0.7644, 0.8579, 
0.1533, 0.8718, 0.8424, 0.7552, 0.8484, 0.1465, 0.8852, 0.8569, 0.7723, 0.8639, 
0.1526, 0.8731, 0.8423, 0.7562, 0.8492, 0.1577, 0.8760, 0.8507, 0.7583, 0.8527, 
0.1509, 0.8736, 0.8447, 0.7581, 0.8509, 0.1615, 0.8790, 0.8391, 0.7551, 0.8489, 
0.1483, 0.8738, 0.8488, 0.7615, 0.8535, 0.1513, 0.8836, 0.8529, 0.7670, 0.8590, 
0.1472, 0.8764, 0.8489, 0.7631, 0.8545, 0.1510, 0.8781, 0.8546, 0.7652, 0.8593, 
0.1484, 0.8758, 0.8477, 0.7615, 0.8534, 0.1490, 0.8857, 0.8490, 0.7699, 0.8613, 
0.1460, 0.8766, 0.8517, 0.7648, 0.8558, 0.1509, 0.8828, 0.8447, 0.7663, 0.8594, 
0.1442, 0.8779, 0.8520, 0.7671, 0.8575, 0.1492, 0.8850, 0.8508, 0.7693, 0.8612, 
0.1434, 0.8787, 0.8528, 0.7679, 0.8584, 0.1495, 0.8817, 0.8598, 0.7680, 0.8609, 
0.1403, 0.8813, 0.8571, 0.7722, 0.8615, 0.1522, 0.8827, 0.8462, 0.7661, 0.8582, 
0.1402, 0.8820, 0.8553, 0.7726, 0.8616, 0.1454, 0.8834, 0.8641, 0.7732, 0.8649, 
0.1397, 0.8817, 0.8561, 0.7730, 0.8620, 0.1484, 0.8853, 0.8519, 0.7698, 0.8619, 
0.1392, 0.8827, 0.8564, 0.7742, 0.8626, 0.1544, 0.8775, 0.8592, 0.7611, 0.8559, 
0.1383, 0.8831, 0.8579, 0.7750, 0.8634, 0.1478, 0.8820, 0.8532, 0.7698, 0.8625, 
0.1367, 0.8848, 0.8590, 0.7776, 0.8651, 0.1440, 0.8840, 0.8653, 0.7757, 0.8663, 
0.1367, 0.8852, 0.8593, 0.7773, 0.8651, 0.1440, 0.8829, 0.8655, 0.7751, 0.8663, 
0.1351, 0.8847, 0.8615, 0.7792, 0.8666, 0.1498, 0.8774, 0.8638, 0.7683, 0.8606, 
0.1362, 0.8851, 0.8597, 0.7781, 0.8655, 0.1479, 0.8863, 0.8478, 0.7702, 0.8624, 
0.1359, 0.8854, 0.8604, 0.7786, 0.8659, 0.1441, 0.8857, 0.8661, 0.7755, 0.8663, 
0.1338, 0.8866, 0.8617, 0.7810, 0.8679, 0.1430, 0.8870, 0.8663, 0.7768, 0.8673, 
0.1300, 0.8904, 0.8650, 0.7866, 0.8717, 0.1528, 0.8820, 0.8533, 0.7638, 0.8575, 
0.1294, 0.8905, 0.8655, 0.7872, 0.8724, 0.1476, 0.8871, 0.8452, 0.7713, 0.8628, 
0.1300, 0.8905, 0.8654, 0.7867, 0.8718, 0.1485, 0.8829, 0.8662, 0.7700, 0.8619, 
0.1286, 0.8917, 0.8671, 0.7885, 0.8732, 0.1466, 0.8846, 0.8553, 0.7725, 0.8637, 
0.1295, 0.8905, 0.8666, 0.7874, 0.8722, 0.1471, 0.8840, 0.8563, 0.7714, 0.8633, 
0.1282, 0.8918, 0.8666, 0.7891, 0.8736, 0.1491, 0.8856, 0.8463, 0.7694, 0.8613, 
0.1261, 0.8945, 0.8693, 0.7924, 0.8757, 0.1494, 0.8833, 0.8599, 0.7696, 0.8609, 
0.1251, 0.8950, 0.8694, 0.7934, 0.8767, 0.1447, 0.8887, 0.8534, 0.7759, 0.8656, 
0.1228, 0.8968, 0.8723, 0.7965, 0.8790, 0.1442, 0.8862, 0.8632, 0.7751, 0.8661, 
0.1244, 0.8955, 0.8711, 0.7946, 0.8774, 0.1435, 0.8850, 0.8640, 0.7760, 0.8668, 
0.1235, 0.8960, 0.8721, 0.7960, 0.8783, 0.1445, 0.8856, 0.8654, 0.7752, 0.8659, 
0.1208, 0.8983, 0.8745, 0.7994, 0.8809, 0.1407, 0.8892, 0.8651, 0.7805, 0.8696, 
