train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2177, 0.8222, 0.7786, 0.6780, 0.7851, 0.1943, 0.8548, 0.8022, 0.7135, 0.8173, 
0.1893, 0.8461, 0.8039, 0.7093, 0.8125, 0.1926, 0.8580, 0.8218, 0.7156, 0.8189, 
0.1823, 0.8524, 0.8100, 0.7186, 0.8193, 0.1782, 0.8643, 0.8241, 0.7334, 0.8331, 
0.1774, 0.8558, 0.8150, 0.7247, 0.8242, 0.1679, 0.8689, 0.8418, 0.7452, 0.8434, 
0.1735, 0.8577, 0.8229, 0.7291, 0.8281, 0.1737, 0.8723, 0.8327, 0.7384, 0.8377, 
0.1625, 0.8632, 0.8341, 0.7422, 0.8391, 0.1729, 0.8704, 0.8334, 0.7394, 0.8384, 
0.1603, 0.8661, 0.8351, 0.7457, 0.8413, 0.1602, 0.8700, 0.8553, 0.7547, 0.8511, 
0.1608, 0.8657, 0.8355, 0.7445, 0.8408, 0.1610, 0.8732, 0.8459, 0.7538, 0.8503, 
0.1538, 0.8701, 0.8429, 0.7539, 0.8478, 0.1591, 0.8801, 0.8449, 0.7590, 0.8522, 
0.1520, 0.8716, 0.8455, 0.7561, 0.8495, 0.1575, 0.8782, 0.8569, 0.7602, 0.8538, 
0.1530, 0.8721, 0.8428, 0.7550, 0.8486, 0.1596, 0.8796, 0.8366, 0.7577, 0.8517, 
0.1490, 0.8750, 0.8470, 0.7603, 0.8525, 0.1580, 0.8755, 0.8579, 0.7586, 0.8532, 
0.1458, 0.8776, 0.8497, 0.7643, 0.8557, 0.1533, 0.8837, 0.8507, 0.7644, 0.8579, 
0.1445, 0.8780, 0.8521, 0.7663, 0.8571, 0.1595, 0.8767, 0.8423, 0.7578, 0.8518, 
0.1429, 0.8799, 0.8529, 0.7686, 0.8586, 0.1498, 0.8880, 0.8523, 0.7704, 0.8614, 
0.1404, 0.8818, 0.8550, 0.7720, 0.8611, 0.1581, 0.8741, 0.8502, 0.7585, 0.8531, 
0.1375, 0.8848, 0.8584, 0.7757, 0.8640, 0.1567, 0.8862, 0.8470, 0.7621, 0.8545, 
