train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
"0,1555","0,8711","0,8334","0,7469","0,8461","0,1567","0,883","0,8395","0,7581","0,8555", 
"0,1543","0,8711","0,8356","0,7483","0,8472","0,1569","0,8816","0,8422","0,7579","0,8553", 
"0,1527","0,8736","0,8386","0,7503","0,8488","0,1641","0,876","0,8345","0,7492","0,8481", 
"0,1537","0,8731","0,8355","0,7494","0,8478","0,1606","0,8776","0,8466","0,7529","0,8516", 
"0,1508","0,8745","0,8394","0,7533","0,8507","0,1555","0,8782","0,8521","0,7595","0,8567", 
"0,1496","0,8756","0,8404","0,7546","0,8519","0,1496","0,8858","0,8516","0,7671","0,8626", 
"0,1489","0,8761","0,8407","0,7557","0,8527","0,1522","0,8809","0,8499","0,7637","0,8601", 
"0,147","0,8778","0,8428","0,7584","0,8545","0,1502","0,8834","0,8512","0,7667","0,862", 
"0,1465","0,8781","0,8431","0,759","0,855","0,1513","0,8851","0,8464","0,7651","0,8609", 
"0,1461","0,8779","0,8431","0,7592","0,8554","0,1526","0,8833","0,8465","0,7639","0,8596", 
"0,1449","0,8794","0,8463","0,7613","0,8566","0,1515","0,8863","0,8494","0,7649","0,8607", 
"0,1439","0,8803","0,8465","0,7622","0,8576","0,1516","0,8802","0,8526","0,7647","0,8607", 
"0,1432","0,8816","0,8462","0,7635","0,8583","0,1538","0,8841","0,8441","0,7621","0,8585", 
"0,1437","0,8809","0,8464","0,7627","0,8578","0,1497","0,8862","0,8503","0,7675","0,8625", 
"0,1409","0,8828","0,8482","0,7665","0,8606","0,1515","0,8831","0,8542","0,7645","0,8607", 
"0,1408","0,8824","0,8494","0,7666","0,8607","0,1543","0,8827","0,843","0,7616","0,8579", 
"0,1401","0,8836","0,8493","0,7679","0,8615","0,1515","0,8814","0,8619","0,7643","0,8607", 
"0,1401","0,8839","0,8497","0,7676","0,8615","0,1558","0,8839","0,8354","0,7592","0,8564", 
"0,1379","0,8855","0,8512","0,7711","0,8636","0,1554","0,8801","0,844","0,7601","0,8569", 
"0,1372","0,8864","0,8509","0,7717","0,8643","0,1549","0,8831","0,8363","0,7608","0,8573", 
"0,1361","0,8867","0,853","0,7732","0,8654","0,1524","0,8857","0,8432","0,7637","0,8599", 
"0,1343","0,8881","0,8557","0,7758","0,8672","0,1561","0,8813","0,8411","0,759","0,8561", 
"0,1343","0,889","0,8544","0,7759","0,8672","0,1468","0,887","0,8544","0,771","0,8654", 
"0,1336","0,8901","0,855","0,7769","0,8679","0,1479","0,8855","0,859","0,7695","0,8643", 
"0,132","0,8914","0,8574","0,7793","0,8695","0,1523","0,8841","0,8496","0,7647","0,8599", 
