train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.1536, 0.8724, 0.8365, 0.7493, 0.8479, 0.1569, 0.8806, 0.8456, 0.7571, 0.8554, 
0.1506, 0.8746, 0.8400, 0.7535, 0.8509, 0.1515, 0.8849, 0.8491, 0.7645, 0.8608, 
0.1527, 0.8730, 0.8383, 0.7506, 0.8488, 0.1625, 0.8805, 0.8457, 0.7514, 0.8497, 
0.1495, 0.8766, 0.8409, 0.7552, 0.8521, 0.1556, 0.8834, 0.8371, 0.7595, 0.8566, 
0.1497, 0.8757, 0.8385, 0.7545, 0.8518, 0.1555, 0.8802, 0.8447, 0.7601, 0.8567, 
0.1490, 0.8771, 0.8400, 0.7554, 0.8525, 0.1528, 0.8848, 0.8438, 0.7632, 0.8594, 
0.1475, 0.8779, 0.8419, 0.7575, 0.8540, 0.1537, 0.8801, 0.8508, 0.7617, 0.8585, 
0.1467, 0.8787, 0.8434, 0.7589, 0.8548, 0.1535, 0.8805, 0.8496, 0.7615, 0.8587, 
0.1459, 0.8789, 0.8437, 0.7597, 0.8556, 0.1546, 0.8812, 0.8433, 0.7608, 0.8576, 
0.1496, 0.8775, 0.8377, 0.7552, 0.8519, 0.1664, 0.8755, 0.8265, 0.7464, 0.8459, 
0.1426, 0.8818, 0.8467, 0.7644, 0.8589, 0.1481, 0.8845, 0.8599, 0.7692, 0.8641, 
0.1433, 0.8822, 0.8457, 0.7634, 0.8583, 0.1509, 0.8856, 0.8486, 0.7651, 0.8613, 
0.1433, 0.8819, 0.8468, 0.7635, 0.8583, 0.1505, 0.8823, 0.8531, 0.7665, 0.8617, 
0.1401, 0.8828, 0.8502, 0.7679, 0.8615, 0.1487, 0.8841, 0.8530, 0.7680, 0.8635, 
0.1453, 0.8818, 0.8432, 0.7614, 0.8562, 0.1492, 0.8835, 0.8505, 0.7677, 0.8631, 
0.1383, 0.8851, 0.8513, 0.7702, 0.8632, 0.1512, 0.8840, 0.8486, 0.7654, 0.8611, 
0.1397, 0.8857, 0.8492, 0.7685, 0.8618, 0.1538, 0.8838, 0.8411, 0.7617, 0.8584, 
0.1383, 0.8853, 0.8514, 0.7704, 0.8632, 0.1498, 0.8828, 0.8581, 0.7664, 0.8624, 
0.1365, 0.8879, 0.8534, 0.7732, 0.8650, 0.1501, 0.8821, 0.8577, 0.7665, 0.8621, 
0.1332, 0.8901, 0.8558, 0.7776, 0.8683, 0.1549, 0.8812, 0.8439, 0.7603, 0.8574, 
0.1328, 0.8904, 0.8562, 0.7781, 0.8687, 0.1541, 0.8841, 0.8389, 0.7620, 0.8581, 
0.1347, 0.8895, 0.8537, 0.7755, 0.8668, 0.1530, 0.8838, 0.8492, 0.7629, 0.8592, 
0.1321, 0.8909, 0.8571, 0.7791, 0.8694, 0.1510, 0.8870, 0.8425, 0.7658, 0.8612, 
0.1306, 0.8927, 0.8581, 0.7812, 0.8709, 0.1542, 0.8808, 0.8480, 0.7610, 0.8580, 
0.1359, 0.8904, 0.8514, 0.7742, 0.8656, 0.1508, 0.8838, 0.8494, 0.7653, 0.8614, 
