train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice,
"0,1635","0,8658","0,8295","0,7374","0,8382","0,1576","0,8756","0,8474","0,7546","0,8528", 
"0,1626","0,866","0,8299","0,7385","0,8392","0,158","0,8785","0,8477","0,7548","0,8523", 
"0,16","0,8689","0,8311","0,7422","0,8417","0,1588","0,8801","0,8337","0,7543","0,8515", 
"0,158","0,8696","0,8341","0,7444","0,8438","0,1565","0,881","0,8371","0,7585","0,8538", 
"0,1597","0,8693","0,8316","0,7422","0,842","0,1585","0,8772","0,8347","0,755","0,8518", 
"0,1568","0,871","0,8349","0,7462","0,845","0,1613","0,8758","0,8424","0,7508","0,849", 
"0,157","0,8711","0,8344","0,746","0,8447","0,1581","0,8796","0,843","0,7557","0,8522", 
"0,158","0,8703","0,834","0,745","0,8438","0,1583","0,8802","0,8406","0,7554","0,852", 
"0,1574","0,8713","0,8332","0,7453","0,8443","0,1595","0,8766","0,8432","0,7541","0,8508", 
"0,1533","0,8735","0,838","0,7504","0,8484","0,1554","0,8735","0,8581","0,7576","0,8549", 
"0,1523","0,8745","0,8382","0,7522","0,8495","0,1564","0,8784","0,8462","0,7567","0,8539", 
"0,1524","0,875","0,837","0,7521","0,8493","0,1581","0,8808","0,831","0,7557","0,8522", 
"0,1518","0,8747","0,8397","0,7528","0,85","0,1575","0,8796","0,8418","0,7572","0,8529", 
"0,1521","0,8758","0,8387","0,7523","0,8496","0,1591","0,8794","0,8417","0,756","0,8512", 
"0,151","0,8758","0,8402","0,7542","0,8508","0,154","0,8819","0,8397","0,7612","0,8564", 
"0,1503","0,8764","0,84","0,7552","0,8514","0,1551","0,882","0,8462","0,76","0,8553", 
"0,149","0,8783","0,8414","0,7571","0,8527","0,1511","0,8824","0,8502","0,7643","0,8592", 
"0,1483","0,8785","0,8423","0,7579","0,8535","0,1531","0,8838","0,8418","0,7614","0,8572", 
"0,1457","0,8802","0,8437","0,7611","0,856","0,1551","0,8814","0,8421","0,7593","0,8553", 
"0,1477","0,8784","0,8434","0,7586","0,854","0,1582","0,8784","0,842","0,7556","0,8522", 
"0,1472","0,8804","0,8425","0,7595","0,8545","0,1642","0,8756","0,8313","0,7484","0,8461", 
"0,1458","0,8792","0,8458","0,7611","0,8559","0,1566","0,8768","0,8417","0,7572","0,8537", 
"0,1468","0,8791","0,8445","0,7599","0,855","0,1523","0,883","0,8487","0,7634","0,858", 
"0,1446","0,8814","0,8457","0,7631","0,8572","0,153","0,878","0,8519","0,7615","0,8574", 
"0,1442","0,8817","0,8461","0,7635","0,8576","0,1507","0,8828","0,8465","0,7648","0,8597", 
