train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2386, 0.8097, 0.7600, 0.6495, 0.7643, 0.2105, 0.8254, 0.7823, 0.6856, 0.7951, 
0.2078, 0.8340, 0.7805, 0.6825, 0.7926, 0.1988, 0.8456, 0.8014, 0.7015, 0.8067, 
0.2025, 0.8367, 0.7841, 0.6896, 0.7979, 0.1978, 0.8514, 0.7791, 0.7033, 0.8075, 
0.2023, 0.8362, 0.7869, 0.6896, 0.7980, 0.1851, 0.8602, 0.7995, 0.7196, 0.8202, 
0.1956, 0.8438, 0.7919, 0.6971, 0.8047, 0.1836, 0.8591, 0.8098, 0.7201, 0.8217, 
0.1952, 0.8420, 0.7972, 0.6973, 0.8051, 0.2327, 0.8164, 0.7709, 0.6603, 0.7725, 
0.1927, 0.8463, 0.7967, 0.7010, 0.8075, 0.1857, 0.8583, 0.7920, 0.7175, 0.8195, 
0.1866, 0.8491, 0.8049, 0.7088, 0.8137, 0.1809, 0.8616, 0.7998, 0.7235, 0.8243, 
0.1814, 0.8538, 0.8085, 0.7154, 0.8189, 0.1785, 0.8654, 0.8108, 0.7272, 0.8268, 
0.1830, 0.8534, 0.8046, 0.7136, 0.8172, 0.1835, 0.8626, 0.8088, 0.7216, 0.8217, 
0.1763, 0.8561, 0.8157, 0.7216, 0.8239, 0.1670, 0.8698, 0.8263, 0.7409, 0.8382, 
0.1751, 0.8572, 0.8164, 0.7223, 0.8251, 0.1696, 0.8690, 0.8211, 0.7374, 0.8356, 
0.1735, 0.8587, 0.8169, 0.7250, 0.8267, 0.1613, 0.8745, 0.8317, 0.7481, 0.8440, 
0.1709, 0.8594, 0.8212, 0.7281, 0.8293, 0.1635, 0.8727, 0.8299, 0.7452, 0.8417, 
0.1665, 0.8634, 0.8250, 0.7339, 0.8337, 0.1681, 0.8691, 0.8350, 0.7394, 0.8371, 
0.1676, 0.8625, 0.8235, 0.7324, 0.8326, 0.1624, 0.8713, 0.8370, 0.7459, 0.8428, 
0.1648, 0.8654, 0.8261, 0.7363, 0.8355, 0.1641, 0.8699, 0.8420, 0.7447, 0.8411, 
0.1638, 0.8668, 0.8264, 0.7374, 0.8364, 0.1650, 0.8685, 0.8344, 0.7443, 0.8402, 
0.1645, 0.8658, 0.8285, 0.7367, 0.8357, 0.1556, 0.8765, 0.8362, 0.7553, 0.8496, 
0.1650, 0.8644, 0.8276, 0.7360, 0.8352, 0.1543, 0.8767, 0.8428, 0.7568, 0.8509, 
0.1597, 0.8681, 0.8329, 0.7428, 0.8405, 0.1604, 0.8744, 0.8442, 0.7504, 0.8448, 
0.1609, 0.8678, 0.8310, 0.7416, 0.8393, 0.1566, 0.8756, 0.8387, 0.7534, 0.8486, 
0.1590, 0.8689, 0.8319, 0.7437, 0.8412, 0.1563, 0.8719, 0.8436, 0.7538, 0.8489, 
0.1579, 0.8705, 0.8322, 0.7451, 0.8423, 0.1585, 0.8713, 0.8457, 0.7506, 0.8467, 
0.1592, 0.8702, 0.8312, 0.7436, 0.8410, 0.1503, 0.8788, 0.8485, 0.7628, 0.8548, 
0.1575, 0.8702, 0.8336, 0.7457, 0.8427, 0.1540, 0.8808, 0.8391, 0.7576, 0.8512, 
0.1552, 0.8725, 0.8356, 0.7486, 0.8450, 0.1537, 0.8753, 0.8453, 0.7574, 0.8514, 
0.1568, 0.8716, 0.8341, 0.7469, 0.8434, 0.1577, 0.8695, 0.8373, 0.7522, 0.8475, 
0.1547, 0.8718, 0.8367, 0.7495, 0.8455, 0.1549, 0.8703, 0.8563, 0.7555, 0.8503, 
0.1538, 0.8741, 0.8372, 0.7505, 0.8464, 0.1554, 0.8752, 0.8401, 0.7552, 0.8498, 
0.1531, 0.8735, 0.8392, 0.7514, 0.8470, 0.1518, 0.8777, 0.8504, 0.7600, 0.8534, 
