train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.1614, 0.8666, 0.8305, 0.7409, 0.8391, 0.1520, 0.8763, 0.8468, 0.7601, 0.8532, 
0.1597, 0.8691, 0.8320, 0.7433, 0.8409, 0.1532, 0.8797, 0.8399, 0.7586, 0.8520, 
0.1591, 0.8691, 0.8328, 0.7442, 0.8414, 0.1599, 0.8783, 0.8291, 0.7509, 0.8453, 
0.1586, 0.8687, 0.8343, 0.7447, 0.8419, 0.1591, 0.8763, 0.8304, 0.7514, 0.8461, 
0.1576, 0.8713, 0.8338, 0.7461, 0.8429, 0.1473, 0.8813, 0.8552, 0.7657, 0.8579, 
0.1534, 0.8730, 0.8386, 0.7515, 0.8471, 0.1508, 0.8780, 0.8484, 0.7615, 0.8544, 
0.1538, 0.8738, 0.8370, 0.7509, 0.8467, 0.1463, 0.8823, 0.8495, 0.7675, 0.8589, 
0.1525, 0.8742, 0.8400, 0.7529, 0.8480, 0.1471, 0.8849, 0.8427, 0.7661, 0.8581, 
0.1516, 0.8749, 0.8417, 0.7544, 0.8489, 0.1442, 0.8837, 0.8525, 0.7700, 0.8610, 
0.1497, 0.8764, 0.8423, 0.7566, 0.8509, 0.1445, 0.8823, 0.8556, 0.7702, 0.8607, 
0.1493, 0.8772, 0.8425, 0.7572, 0.8513, 0.1498, 0.8824, 0.8485, 0.7635, 0.8554, 
0.1478, 0.8789, 0.8435, 0.7592, 0.8527, 0.1498, 0.8836, 0.8468, 0.7641, 0.8553, 
0.1469, 0.8792, 0.8443, 0.7603, 0.8536, 0.1425, 0.8866, 0.8568, 0.7725, 0.8627, 
0.1457, 0.8795, 0.8453, 0.7619, 0.8549, 0.1455, 0.8824, 0.8531, 0.7689, 0.8597, 
0.1461, 0.8794, 0.8456, 0.7614, 0.8544, 0.1460, 0.8773, 0.8615, 0.7675, 0.8592, 
0.1446, 0.8814, 0.8473, 0.7638, 0.8559, 0.1428, 0.8869, 0.8549, 0.7733, 0.8623, 
0.1439, 0.8816, 0.8479, 0.7644, 0.8566, 0.1400, 0.8909, 0.8568, 0.7765, 0.8652, 
0.1429, 0.8821, 0.8492, 0.7658, 0.8576, 0.1414, 0.8858, 0.8600, 0.7738, 0.8638, 
0.1420, 0.8830, 0.8503, 0.7672, 0.8585, 0.1402, 0.8839, 0.8675, 0.7748, 0.8650, 
0.1397, 0.8852, 0.8510, 0.7702, 0.8608, 0.1428, 0.8896, 0.8541, 0.7731, 0.8624, 
0.1399, 0.8850, 0.8518, 0.7701, 0.8607, 0.1388, 0.8883, 0.8643, 0.7778, 0.8664, 
0.1402, 0.8850, 0.8508, 0.7697, 0.8603, 0.1431, 0.8853, 0.8559, 0.7721, 0.8621, 
0.1394, 0.8858, 0.8521, 0.7707, 0.8611, 0.1415, 0.8850, 0.8645, 0.7736, 0.8637, 
0.1377, 0.8867, 0.8538, 0.7729, 0.8629, 0.1383, 0.8897, 0.8624, 0.7780, 0.8669, 
0.1368, 0.8875, 0.8541, 0.7742, 0.8637, 0.1367, 0.8882, 0.8625, 0.7802, 0.8685, 
0.1358, 0.8887, 0.8551, 0.7755, 0.8647, 0.1382, 0.8898, 0.8564, 0.7792, 0.8670, 
0.1353, 0.8889, 0.8563, 0.7764, 0.8652, 0.1353, 0.8935, 0.8584, 0.7832, 0.8699, 
0.1339, 0.8898, 0.8571, 0.7784, 0.8667, 0.1407, 0.8908, 0.8628, 0.7767, 0.8645, 
