train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
"0,3676","0,7855","0,6289","0,5046","0,6354","0,3394","0,8091","0,6408","0,535","0,666", 
"0,3394","0,8015","0,6533","0,5304","0,6611","0,3384","0,7899","0,6721","0,5341","0,667", 
"0,337","0,8041","0,6528","0,5335","0,6634","0,351","0,819","0,6176","0,5314","0,6544", 
"0,3329","0,8098","0,6529","0,5387","0,6674","0,3479","0,8184","0,6212","0,534","0,6573", 
"0,3293","0,8115","0,6571","0,5418","0,671","0,3377","0,7864","0,6755","0,5353","0,6676", 
"0,3299","0,8083","0,6589","0,5413","0,6703","0,3416","0,7941","0,66","0,5337","0,6636", 
"0,3246","0,8136","0,6635","0,5468","0,6756","0,3247","0,8077","0,6733","0,5503","0,6805", 
"0,3212","0,8122","0,6723","0,5493","0,679","0,3208","0,8159","0,6712","0,5544","0,6845", 
"0,323","0,8124","0,6701","0,5477","0,6772","0,3225","0,8229","0,6566","0,5546","0,6827", 
"0,3144","0,817","0,6784","0,5573","0,6858","0,3159","0,8148","0,69","0,5594","0,6893", 
"0,3158","0,8192","0,6746","0,5571","0,6845","0,316","0,827","0,6661","0,5634","0,6893", 
"0,3122","0,8208","0,6803","0,5601","0,688","0,3317","0,827","0,6512","0,5495","0,6735", 
"0,3134","0,8187","0,6789","0,5596","0,6868","0,3169","0,8144","0,674","0,5605","0,6883", 
"0,3118","0,8198","0,6791","0,5607","0,6884","0,3246","0,8229","0,6568","0,5535","0,6806", 
"0,3086","0,8186","0,6866","0,5635","0,6916","0,3118","0,8317","0,6714","0,5675","0,6934", 
"0,3043","0,8231","0,689","0,5682","0,6959","0,3218","0,8235","0,6651","0,5564","0,6834", 
"0,3048","0,8223","0,6899","0,5683","0,6954","0,3115","0,8142","0,6973","0,563","0,6937", 
"0,3021","0,8249","0,6889","0,5714","0,6981","0,3106","0,8266","0,6817","0,57","0,6946", 
"0,3008","0,8231","0,6934","0,5722","0,6994","0,31","0,8285","0,6682","0,57","0,6951", 
"0,3036","0,8232","0,6908","0,5695","0,6966","0,3034","0,8271","0,6896","0,575","0,7018", 
"0,2984","0,8271","0,6955","0,576","0,7018","0,3095","0,831","0,6769","0,5688","0,6957", 
"0,298","0,8276","0,6935","0,5758","0,7022","0,3124","0,8255","0,6752","0,5669","0,6928", 
"0,2962","0,8285","0,6951","0,5775","0,704","0,3117","0,8332","0,667","0,5692","0,6935", 
"0,2967","0,828","0,6968","0,5779","0,7035","0,3155","0,8298","0,6717","0,567","0,6897", 
"0,2939","0,8291","0,6988","0,5802","0,7063","0,2987","0,8197","0,7092","0,5778","0,7064", 
"0,2966","0,8268","0,7005","0,5782","0,7036","0,3147","0,8326","0,6664","0,5662","0,6904", 
"0,2955","0,8292","0,6991","0,5792","0,7047","0,2953","0,831","0,6999","0,5858","0,7099", 
"0,2916","0,8303","0,7033","0,5826","0,7086","0,3044","0,8249","0,6876","0,5755","0,7008", 
"0,2901","0,832","0,701","0,5848","0,7101","0,3055","0,8288","0,6887","0,5752","0,6997", 
"0,2916","0,8306","0,703","0,584","0,7086","0,3161","0,8319","0,6608","0,5676","0,6891", 
