train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
"0,3778","0,8587","0,6309","0,546","0,6232","0,361","0,8824","0,6506","0,5737","0,6443", 
"0,3662","0,8711","0,6416","0,5606","0,6344","0,3496","0,8961","0,6594","0,5896","0,6557", 
"0,3606","0,8771","0,6469","0,5682","0,64","0,3564","0,8931","0,6464","0,5813","0,6488", 
"0,3591","0,8789","0,6477","0,5703","0,6415","0,3615","0,8889","0,6411","0,5751","0,6437", 
"0,357","0,8811","0,6501","0,5732","0,6435","0,3502","0,896","0,6574","0,5893","0,655", 
"0,3558","0,8826","0,6503","0,5749","0,6448","0,3478","0,8969","0,6633","0,5925","0,6574", 
"0,355","0,8835","0,6512","0,5759","0,6455","0,3461","0,8991","0,6649","0,5949","0,6591", 
"0,3545","0,8837","0,6526","0,5767","0,646","0,3474","0,8977","0,664","0,5932","0,6578", 
"0,3533","0,8851","0,6534","0,5783","0,6472","0,3517","0,8954","0,6537","0,5869","0,6534", 
"0,3526","0,8858","0,654","0,579","0,6479","0,3599","0,882","0,6551","0,5756","0,6453", 
"0,3527","0,8859","0,6539","0,5789","0,6478","0,345","0,9001","0,6656","0,5963","0,6602", 
"0,3515","0,887","0,655","0,5806","0,649","0,3441","0,9015","0,664","0,5976","0,6611", 
"0,3513","0,8871","0,6554","0,5811","0,6492","0,347","0,8985","0,6617","0,5933","0,6582", 
"0,3513","0,8873","0,6553","0,581","0,6492","0,3455","0,8989","0,6678","0,5954","0,6596", 
"0,3502","0,8885","0,6559","0,5826","0,6503","0,347","0,8999","0,662","0,5937","0,6581", 
"0,3497","0,8892","0,6564","0,5834","0,6508","0,3492","0,8969","0,6578","0,5903","0,656", 
"0,3502","0,8885","0,6559","0,5826","0,6503","0,3448","0,9012","0,6618","0,5965","0,6603", 
"0,3493","0,8894","0,6572","0,5838","0,6513","0,3448","0,9004","0,6659","0,5966","0,6603", 
"0,3486","0,8898","0,6583","0,5849","0,652","0,3451","0,903","0,6614","0,5963","0,66", 
"0,3481","0,8906","0,658","0,5855","0,6524","0,3485","0,8946","0,6656","0,5911","0,6567", 
"0,348","0,8907","0,6577","0,5854","0,6525","0,341","0,9039","0,6698","0,6019","0,6642", 
"0,3475","0,8914","0,6586","0,5864","0,653","0,3443","0,9024","0,6622","0,5974","0,6609", 
"0,3475","0,8912","0,6589","0,5864","0,6531","0,3493","0,8987","0,6538","0,5912","0,6558", 
"0,3469","0,8921","0,6587","0,5872","0,6536","0,341","0,9037","0,671","0,6016","0,6641", 
"0,347","0,892","0,6586","0,5871","0,6535","0,3437","0,9037","0,6629","0,5986","0,6614", 
"0,3467","0,8921","0,6592","0,5874","0,6538","0,3447","0,9005","0,6667","0,5969","0,6605", 
"0,3459","0,8927","0,6597","0,5884","0,6546","0,3427","0,9034","0,665","0,5992","0,6624", 
"0,3459","0,8926","0,6598","0,5882","0,6546","0,3439","0,9023","0,6638","0,598","0,6613", 
"0,3446","0,8934","0,6607","0,59","0,6559","0,3412","0,905","0,6665","0,6019","0,664", 
"0,3448","0,8929","0,661","0,5896","0,6557","0,3423","0,9026","0,669","0,6002","0,6628", 
"0,3432","0,8936","0,6626","0,5914","0,6574","0,3441","0,9034","0,6633","0,598","0,6611", 
"0,342","0,8946","0,6637","0,5931","0,6585","0,3418","0,9053","0,6627","0,6009","0,6634", 
"0,3431","0,8944","0,6625","0,5917","0,6574","0,3416","0,9044","0,6677","0,601","0,6636", 
"0,3424","0,8945","0,6627","0,5925","0,6581","0,3399","0,9059","0,668","0,6032","0,6653", 
"0,3418","0,8954","0,6637","0,5932","0,6587","0,3427","0,9023","0,6679","0,5995","0,6624", 
"0,3416","0,8952","0,6637","0,5935","0,6589","0,342","0,906","0,6649","0,6011","0,6632", 
"0,3409","0,8953","0,6644","0,5941","0,6596","0,3479","0,897","0,6643","0,5921","0,6572", 
"0,3407","0,8955","0,6645","0,5944","0,6598","0,3402","0,9036","0,6723","0,6026","0,665", 
"0,3401","0,8964","0,6658","0,5954","0,6604","0,341","0,9043","0,6677","0,6018","0,6641", 
"0,3403","0,8962","0,6648","0,5949","0,6602","0,3408","0,9039","0,6674","0,6017","0,6644", 
"0,3397","0,8964","0,6655","0,5958","0,6608","0,3381","0,9068","0,6716","0,6056","0,6671", 
"0,3391","0,8969","0,6663","0,5965","0,6614","0,3408","0,9066","0,6644","0,6027","0,6643", 
"0,3401","0,8963","0,666","0,5955","0,6604","0,3432","0,9055","0,6612","0,5994","0,662", 
"0,3392","0,8974","0,6665","0,5966","0,6613","0,3417","0,9052","0,6658","0,6016","0,6635", 
"0,3399","0,897","0,6654","0,5958","0,6606","0,3447","0,9018","0,6632","0,5971","0,6604", 
"0,3384","0,8982","0,6669","0,5978","0,6621","0,3398","0,906","0,6685","0,6035","0,6653", 
"0,3376","0,8987","0,6676","0,5989","0,6629","0,3521","0,8958","0,6511","0,5871","0,6531", 
"0,3371","0,899","0,668","0,5995","0,6634","0,3383","0,908","0,6706","0,6058","0,6669", 
"0,3371","0,8994","0,6683","0,5998","0,6634","0,3427","0,905","0,6666","0,6002","0,6625", 
"0,337","0,8994","0,6686","0,5995","0,6635","0,3417","0,9052","0,6671","0,601","0,6635", 
