train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2421, 0.8048, 0.7594, 0.6438, 0.7626, 0.2050, 0.8509, 0.7942, 0.6978, 0.8087, 
0.2080, 0.8305, 0.7853, 0.6802, 0.7938, 0.1988, 0.8481, 0.8011, 0.7039, 0.8138, 
0.1971, 0.8415, 0.7917, 0.6938, 0.8047, 0.1915, 0.8502, 0.8267, 0.7136, 0.8208, 
0.1870, 0.8464, 0.8039, 0.7062, 0.8146, 0.1872, 0.8645, 0.8123, 0.7189, 0.8256, 
0.1874, 0.8492, 0.7993, 0.7059, 0.8142, 0.2279, 0.8323, 0.8073, 0.6755, 0.7862, 
0.1815, 0.8513, 0.8091, 0.7130, 0.8202, 0.1689, 0.8706, 0.8351, 0.7417, 0.8435, 
0.1750, 0.8556, 0.8155, 0.7211, 0.8267, 0.1764, 0.8642, 0.8378, 0.7312, 0.8359, 
0.1759, 0.8567, 0.8142, 0.7202, 0.8257, 0.1630, 0.8729, 0.8453, 0.7490, 0.8493, 
0.1741, 0.8579, 0.8173, 0.7225, 0.8275, 0.1829, 0.8629, 0.8375, 0.7247, 0.8294, 
0.1693, 0.8606, 0.8201, 0.7284, 0.8323, 0.1609, 0.8773, 0.8356, 0.7523, 0.8514, 
0.1659, 0.8635, 0.8239, 0.7331, 0.8357, 0.1694, 0.8756, 0.8259, 0.7420, 0.8428, 
0.1659, 0.8635, 0.8233, 0.7330, 0.8357, 0.1610, 0.8782, 0.8386, 0.7526, 0.8512, 
0.1643, 0.8635, 0.8272, 0.7350, 0.8373, 0.1610, 0.8783, 0.8373, 0.7525, 0.8512, 
0.1655, 0.8635, 0.8251, 0.7339, 0.8361, 0.1643, 0.8765, 0.8399, 0.7478, 0.8479, 
0.1654, 0.8640, 0.8239, 0.7339, 0.8362, 0.1623, 0.8789, 0.8320, 0.7503, 0.8500, 
0.1616, 0.8683, 0.8271, 0.7387, 0.8399, 0.1565, 0.8793, 0.8476, 0.7579, 0.8557, 
0.1605, 0.8678, 0.8293, 0.7403, 0.8410, 0.1568, 0.8768, 0.8512, 0.7570, 0.8554, 
0.1616, 0.8664, 0.8290, 0.7391, 0.8400, 0.1591, 0.8725, 0.8526, 0.7538, 0.8531, 
0.1575, 0.8701, 0.8317, 0.7442, 0.8441, 0.1587, 0.8804, 0.8410, 0.7554, 0.8535, 
0.1570, 0.8700, 0.8318, 0.7449, 0.8445, 0.1552, 0.8844, 0.8412, 0.7599, 0.8570, 
0.1556, 0.8713, 0.8342, 0.7468, 0.8459, 0.1523, 0.8828, 0.8513, 0.7640, 0.8599, 
0.1553, 0.8719, 0.8346, 0.7471, 0.8462, 0.1596, 0.8728, 0.8502, 0.7533, 0.8527, 
0.1543, 0.8726, 0.8358, 0.7484, 0.8472, 0.1603, 0.8808, 0.8309, 0.7539, 0.8520, 
0.1536, 0.8721, 0.8374, 0.7491, 0.8479, 0.1577, 0.8811, 0.8387, 0.7566, 0.8545, 
0.1536, 0.8735, 0.8370, 0.7496, 0.8479, 0.1605, 0.8764, 0.8375, 0.7526, 0.8518, 
0.1524, 0.8738, 0.8364, 0.7506, 0.8491, 0.1517, 0.8847, 0.8480, 0.7648, 0.8606, 
0.1536, 0.8741, 0.8356, 0.7498, 0.8479, 0.1535, 0.8807, 0.8567, 0.7624, 0.8587, 
0.1488, 0.8771, 0.8409, 0.7558, 0.8527, 0.1601, 0.8798, 0.8302, 0.7538, 0.8521, 
0.1497, 0.8766, 0.8400, 0.7547, 0.8518, 0.1504, 0.8827, 0.8570, 0.7656, 0.8618, 
0.1475, 0.8770, 0.8421, 0.7574, 0.8540, 0.1574, 0.8778, 0.8401, 0.7566, 0.8548, 
0.1472, 0.8776, 0.8439, 0.7581, 0.8543, 0.1546, 0.8818, 0.8452, 0.7607, 0.8576, 
0.1489, 0.8772, 0.8399, 0.7557, 0.8526, 0.1506, 0.8827, 0.8521, 0.7659, 0.8616, 
0.1452, 0.8800, 0.8434, 0.7609, 0.8563, 0.1578, 0.8810, 0.8441, 0.7577, 0.8544, 
0.1457, 0.8804, 0.8436, 0.7603, 0.8558, 0.1526, 0.8821, 0.8571, 0.7630, 0.8596, 
0.1443, 0.8805, 0.8454, 0.7621, 0.8572, 0.1545, 0.8816, 0.8513, 0.7609, 0.8577, 
0.1431, 0.8813, 0.8464, 0.7637, 0.8584, 0.1577, 0.8799, 0.8533, 0.7573, 0.8545, 
0.1436, 0.8823, 0.8447, 0.7631, 0.8579, 0.1555, 0.8814, 0.8421, 0.7602, 0.8567, 
0.1450, 0.8812, 0.8433, 0.7611, 0.8565, 0.1500, 0.8845, 0.8491, 0.7670, 0.8622, 
0.1405, 0.8847, 0.8476, 0.7672, 0.8610, 0.1518, 0.8832, 0.8453, 0.7645, 0.8604, 
0.1386, 0.8857, 0.8506, 0.7698, 0.8628, 0.1505, 0.8852, 0.8529, 0.7661, 0.8617, 
0.1383, 0.8858, 0.8511, 0.7704, 0.8632, 0.1531, 0.8857, 0.8411, 0.7630, 0.8591, 
0.1365, 0.8873, 0.8528, 0.7728, 0.8650, 0.1561, 0.8829, 0.8476, 0.7604, 0.8561, 
0.1358, 0.8879, 0.8534, 0.7739, 0.8657, 0.1487, 0.8856, 0.8543, 0.7693, 0.8635, 
0.1352, 0.8890, 0.8536, 0.7746, 0.8663, 0.1496, 0.8834, 0.8555, 0.7672, 0.8626, 
0.1336, 0.8891, 0.8560, 0.7770, 0.8679, 0.1506, 0.8844, 0.8535, 0.7657, 0.8616, 
0.1320, 0.8911, 0.8574, 0.7791, 0.8695, 0.1503, 0.8806, 0.8574, 0.7662, 0.8619, 
0.1318, 0.8918, 0.8572, 0.7796, 0.8697, 0.1531, 0.8811, 0.8475, 0.7629, 0.8591, 
0.1335, 0.8908, 0.8558, 0.7773, 0.8680, 0.1563, 0.8799, 0.8450, 0.7579, 0.8559, 
0.1333, 0.8906, 0.8559, 0.7776, 0.8682, 0.1576, 0.8836, 0.8367, 0.7583, 0.8546, 
0.1317, 0.8912, 0.8575, 0.7795, 0.8698, 0.1610, 0.8784, 0.8330, 0.7533, 0.8512, 
