train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2387, 0.8090, 0.7564, 0.6491, 0.7653, train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2356, 0.8111, 0.7626, 0.6514, 0.7681, 0.2090, 0.8403, 0.7957, 0.6922, 0.8036, 
0.2043, 0.8345, 0.7852, 0.6848, 0.7975, 0.2162, 0.8334, 0.7898, 0.6841, 0.7962, 
0.1940, 0.8415, 0.7981, 0.6975, 0.8077, 0.1826, 0.8637, 0.8115, 0.7257, 0.8299, 
0.1859, 0.8480, 0.8051, 0.7075, 0.8158, 0.1763, 0.8701, 0.8243, 0.7332, 0.8361, 
0.1856, 0.8489, 0.8023, 0.7080, 0.8160, 0.1890, 0.8575, 0.8184, 0.7168, 0.8233, 
0.1815, 0.8519, 0.8086, 0.7129, 0.8200, 0.1718, 0.8686, 0.8241, 0.7383, 0.8405, 
0.1772, 0.8537, 0.8138, 0.7184, 0.8244, 0.1807, 0.8682, 0.8105, 0.7275, 0.8316, 
0.1735, 0.8577, 0.8160, 0.7232, 0.8281, 0.1665, 0.8758, 0.8244, 0.7455, 0.8458, 
0.1713, 0.8590, 0.8189, 0.7261, 0.8302, 0.1667, 0.8673, 0.8388, 0.7446, 0.8456, 
0.1684, 0.8623, 0.8217, 0.7298, 0.8331, 0.1679, 0.8699, 0.8355, 0.7432, 0.8443, 
0.1691, 0.8602, 0.8219, 0.7290, 0.8324, 0.1636, 0.8770, 0.8362, 0.7498, 0.8486, 
0.1668, 0.8635, 0.8214, 0.7321, 0.8348, 0.1647, 0.8766, 0.8234, 0.7472, 0.8476, 
0.1662, 0.8641, 0.8242, 0.7329, 0.8353, 0.1648, 0.8746, 0.8429, 0.7473, 0.8474, 
0.1660, 0.8637, 0.8233, 0.7328, 0.8355, 0.1583, 0.8811, 0.8371, 0.7562, 0.8540, 
0.1597, 0.8681, 0.8282, 0.7412, 0.8418, 0.1724, 0.8721, 0.8152, 0.7385, 0.8398, 
0.1609, 0.8674, 0.8291, 0.7397, 0.8406, 0.1722, 0.8633, 0.8237, 0.7374, 0.8401, 
0.1602, 0.8679, 0.8299, 0.7402, 0.8413, 0.1578, 0.8769, 0.8543, 0.7566, 0.8544, 
0.1570, 0.8691, 0.8336, 0.7449, 0.8445, 0.1589, 0.8794, 0.8401, 0.7551, 0.8533, 
0.1588, 0.8682, 0.8316, 0.7423, 0.8427, 0.1564, 0.8841, 0.8397, 0.7589, 0.8558, 
0.1572, 0.8702, 0.8326, 0.7446, 0.8443, 0.1622, 0.8763, 0.8441, 0.7513, 0.8500, 
0.1583, 0.8697, 0.8323, 0.7431, 0.8432, 0.1587, 0.8756, 0.8469, 0.7550, 0.8535, 
0.1552, 0.8712, 0.8347, 0.7472, 0.8463, 0.1582, 0.8787, 0.8419, 0.7559, 0.8541, 
0.1544, 0.8718, 0.8349, 0.7484, 0.8471, 0.1562, 0.8809, 0.8456, 0.7596, 0.8560, 
0.1522, 0.8731, 0.8385, 0.7510, 0.8493, 0.1559, 0.8822, 0.8421, 0.7591, 0.8563, 
0.1502, 0.8752, 0.8388, 0.7541, 0.8513, 0.1566, 0.8824, 0.8395, 0.7585, 0.8556, 
0.1529, 0.8735, 0.8375, 0.7503, 0.8486, 0.1561, 0.8809, 0.8440, 0.7585, 0.8562, 
0.1482, 0.8759, 0.8422, 0.7566, 0.8533, 0.1548, 0.8813, 0.8512, 0.7608, 0.8574, 
0.1484, 0.8772, 0.8401, 0.7564, 0.8531, 0.1566, 0.8839, 0.8374, 0.7580, 0.8556, 
0.1481, 0.8768, 0.8419, 0.7567, 0.8534, 0.1554, 0.8847, 0.8407, 0.7608, 0.8568, 
0.1467, 0.8787, 0.8423, 0.7586, 0.8548, 0.1558, 0.8844, 0.8340, 0.7598, 0.8564, 
0.1520, 0.8761, 0.8355, 0.7519, 0.8495, 0.1508, 0.8824, 0.8547, 0.7656, 0.8614, 
0.1460, 0.8793, 0.8428, 0.7600, 0.8555, 0.1538, 0.8834, 0.8392, 0.7620, 0.8584, 
0.1437, 0.8804, 0.8464, 0.7629, 0.8578, 0.1533, 0.8835, 0.8447, 0.7630, 0.8589, 
0.1429, 0.8815, 0.8466, 0.7639, 0.8586, 0.1532, 0.8808, 0.8492, 0.7629, 0.8590, 
0.1416, 0.8821, 0.8490, 0.7655, 0.8598, 0.1534, 0.8824, 0.8422, 0.7619, 0.8589, 
0.1428, 0.8811, 0.8472, 0.7641, 0.8587, 0.1540, 0.8837, 0.8463, 0.7615, 0.8582, 
0.1406, 0.8838, 0.8480, 0.7671, 0.8609, 0.1561, 0.8826, 0.8417, 0.7591, 0.8561, 
0.1405, 0.8838, 0.8495, 0.7673, 0.8610, 0.1542, 0.8816, 0.8436, 0.7612, 0.8580, 
0.1402, 0.8844, 0.8484, 0.7676, 0.8613, 0.1517, 0.8820, 0.8486, 0.7643, 0.8605, 
0.1374, 0.8858, 0.8518, 0.7715, 0.8641, 0.1501, 0.8812, 0.8582, 0.7663, 0.8621, 
0.1355, 0.8881, 0.8545, 0.7743, 0.8660, 0.1558, 0.8811, 0.8391, 0.7593, 0.8564, 
0.1351, 0.8881, 0.8538, 0.7746, 0.8664, 0.1526, 0.8843, 0.8435, 0.7644, 0.8596, 
0.1359, 0.8881, 0.8541, 0.7739, 0.8656, 0.1633, 0.8738, 0.8345, 0.7505, 0.8489, 
0.1348, 0.8891, 0.8543, 0.7753, 0.8667, 0.1574, 0.8814, 0.8410, 0.7573, 0.8548, 
0.1310, 0.8918, 0.8574, 0.7806, 0.8705, 0.1490, 0.8858, 0.8533, 0.7685, 0.8632, 
0.1313, 0.8918, 0.8573, 0.7802, 0.8702, 0.1557, 0.8846, 0.8337, 0.7591, 0.8565, 
0.1286, 0.8934, 0.8603, 0.7841, 0.8729, 0.1498, 0.8858, 0.8501, 0.7666, 0.8624, 
0.1289, 0.8937, 0.8599, 0.7835, 0.8726, 0.1602, 0.8778, 0.8337, 0.7540, 0.8520, 
0.1277, 0.8945, 0.8617, 0.7851, 0.8737, 0.1496, 0.8829, 0.8537, 0.7667, 0.8626, 
0.1282, 0.8951, 0.8602, 0.7845, 0.8733, 0.1530, 0.8781, 0.8499, 0.7627, 0.8592, 
