train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.2151, 0.8257, 0.7788, 0.6747, 0.7881, 0.1989, 0.8566, 0.7852, 0.7066, 0.8137, 
0.1915, 0.8435, 0.7980, 0.7007, 0.8098, 0.1798, 0.8531, 0.8324, 0.7275, 0.8325, 
0.1832, 0.8502, 0.8060, 0.7106, 0.8180, 0.1642, 0.8761, 0.8357, 0.7483, 0.8481, 
0.1726, 0.8572, 0.8175, 0.7241, 0.8286, 0.1695, 0.8766, 0.8280, 0.7418, 0.8428, 
0.1700, 0.8583, 0.8207, 0.7272, 0.8312, 0.1674, 0.8614, 0.8582, 0.7428, 0.8449, 
0.1677, 0.8616, 0.8220, 0.7307, 0.8335, 0.1600, 0.8798, 0.8361, 0.7538, 0.8523, 
0.1631, 0.8639, 0.8273, 0.7367, 0.8381, 0.1544, 0.8849, 0.8468, 0.7608, 0.8578, 
0.1617, 0.8651, 0.8285, 0.7381, 0.8394, 0.1573, 0.8807, 0.8444, 0.7568, 0.8550, 
0.1619, 0.8658, 0.8275, 0.7380, 0.8392, 0.1582, 0.8775, 0.8424, 0.7556, 0.8541, 
0.1590, 0.8686, 0.8308, 0.7418, 0.8421, 0.1549, 0.8802, 0.8492, 0.7601, 0.8574, 
0.1577, 0.8694, 0.8317, 0.7436, 0.8434, 0.1505, 0.8882, 0.8429, 0.7665, 0.8617, 
0.1550, 0.8711, 0.8351, 0.7473, 0.8462, 0.1505, 0.8809, 0.8546, 0.7658, 0.8617, 
0.1540, 0.8717, 0.8358, 0.7485, 0.8471, 0.1529, 0.8792, 0.8590, 0.7630, 0.8593, 
0.1543, 0.8709, 0.8362, 0.7482, 0.8469, 0.1496, 0.8882, 0.8476, 0.7670, 0.8627, 
0.1516, 0.8733, 0.8378, 0.7517, 0.8495, 0.1591, 0.8786, 0.8476, 0.7547, 0.8531, 
0.1502, 0.8746, 0.8402, 0.7539, 0.8509, 0.1459, 0.8887, 0.8560, 0.7721, 0.8663, 
0.1477, 0.8768, 0.8425, 0.7571, 0.8534, 0.1484, 0.8855, 0.8497, 0.7693, 0.8638, 
0.1471, 0.8774, 0.8430, 0.7580, 0.8540, 0.1463, 0.8912, 0.8526, 0.7713, 0.8659, 
0.1459, 0.8778, 0.8446, 0.7596, 0.8552, 0.1513, 0.8873, 0.8485, 0.7672, 0.8609, 
0.1467, 0.8777, 0.8439, 0.7586, 0.8544, 0.1427, 0.8911, 0.8614, 0.7768, 0.8695, 
0.1451, 0.8793, 0.8446, 0.7607, 0.8560, 0.1508, 0.8863, 0.8427, 0.7659, 0.8615, 
0.1431, 0.8803, 0.8469, 0.7634, 0.8580, 0.1467, 0.8904, 0.8471, 0.7717, 0.8655, 
0.1424, 0.8816, 0.8476, 0.7643, 0.8587, 0.1450, 0.8882, 0.8634, 0.7733, 0.8672, 
0.1424, 0.8813, 0.8472, 0.7643, 0.8587, 0.1425, 0.8914, 0.8639, 0.7770, 0.8697, 
0.1401, 0.8833, 0.8496, 0.7675, 0.8610, 0.1440, 0.8896, 0.8589, 0.7753, 0.8682, 
0.1401, 0.8835, 0.8499, 0.7676, 0.8610, 0.1411, 0.8895, 0.8658, 0.7783, 0.8711, 
0.1387, 0.8850, 0.8502, 0.7697, 0.8624, 0.1410, 0.8925, 0.8640, 0.7788, 0.8712, 
0.1379, 0.8851, 0.8511, 0.7706, 0.8632, 0.1414, 0.8904, 0.8597, 0.7782, 0.8708, 
0.1358, 0.8873, 0.8542, 0.7738, 0.8653, 0.1462, 0.8889, 0.8603, 0.7726, 0.8660, 
0.1377, 0.8862, 0.8519, 0.7710, 0.8634, 0.1513, 0.8875, 0.8567, 0.7671, 0.8609, 
0.1336, 0.8885, 0.8563, 0.7767, 0.8675, 0.1398, 0.8931, 0.8605, 0.7805, 0.8724, 
0.1330, 0.8894, 0.8562, 0.7776, 0.8681, 0.1367, 0.8943, 0.8692, 0.7846, 0.8755, 
0.1326, 0.8899, 0.8565, 0.7783, 0.8685, 0.1385, 0.8937, 0.8699, 0.7826, 0.8737, 
0.1311, 0.8914, 0.8574, 0.7804, 0.8700, 0.1389, 0.8965, 0.8588, 0.7823, 0.8733, 
0.1301, 0.8926, 0.8594, 0.7818, 0.8710, 0.1404, 0.8954, 0.8633, 0.7799, 0.8719, 
0.1286, 0.8937, 0.8597, 0.7838, 0.8725, 0.1415, 0.8858, 0.8704, 0.7774, 0.8707, 
0.1283, 0.8942, 0.8606, 0.7844, 0.8727, 0.1412, 0.8952, 0.8558, 0.7787, 0.8711, 
0.1265, 0.8955, 0.8631, 0.7868, 0.8746, 0.1385, 0.8950, 0.8676, 0.7828, 0.8737, 
0.1254, 0.8966, 0.8634, 0.7887, 0.8757, 0.1465, 0.8764, 0.8756, 0.7710, 0.8657, 
0.1248, 0.8967, 0.8642, 0.7895, 0.8763, 0.1376, 0.8918, 0.8702, 0.7834, 0.8746, 
0.1231, 0.8986, 0.8656, 0.7920, 0.8780, 0.1360, 0.8930, 0.8733, 0.7855, 0.8762, 
0.1207, 0.9006, 0.8680, 0.7952, 0.8804, 0.1368, 0.8914, 0.8722, 0.7843, 0.8754, 
0.1218, 0.8999, 0.8673, 0.7939, 0.8793, 0.1398, 0.8882, 0.8734, 0.7803, 0.8724, 
0.1189, 0.9023, 0.8700, 0.7979, 0.8822, 0.1348, 0.8987, 0.8666, 0.7874, 0.8774, 
0.1179, 0.9039, 0.8700, 0.7995, 0.8832, 0.1338, 0.8956, 0.8732, 0.7883, 0.8784, 
0.1150, 0.9060, 0.8727, 0.8036, 0.8861, 0.1337, 0.8967, 0.8726, 0.7890, 0.8786, 
0.1148, 0.9062, 0.8740, 0.8042, 0.8863, 0.1394, 0.8844, 0.8793, 0.7805, 0.8728, 
0.1129, 0.9075, 0.8753, 0.8066, 0.8882, 0.1370, 0.8948, 0.8678, 0.7844, 0.8752, 
0.1111, 0.9092, 0.8775, 0.8095, 0.8900, 0.1398, 0.8961, 0.8538, 0.7807, 0.8724, 
0.1123, 0.9081, 0.8763, 0.8075, 0.8888, 0.1367, 0.8945, 0.8642, 0.7847, 0.8755, 
