train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
0.1473, 0.8805, 0.8505, 0.7622, 0.8543, 0.1568, 0.8842, 0.8444, 0.7609, 0.8554, 
0.1439, 0.8837, 0.8528, 0.7668, 0.8576, 0.1567, 0.8800, 0.8512, 0.7597, 0.8555, 
0.1421, 0.8840, 0.8534, 0.7686, 0.8594, 0.1527, 0.8848, 0.8567, 0.7653, 0.8595, 
0.1465, 0.8834, 0.8504, 0.7642, 0.8550, 0.1635, 0.8895, 0.8305, 0.7543, 0.8488, 
0.1407, 0.8855, 0.8552, 0.7711, 0.8608, 0.1601, 0.8859, 0.8406, 0.7580, 0.8521, 
0.1383, 0.8881, 0.8557, 0.7743, 0.8632, 0.1543, 0.8838, 0.8476, 0.7631, 0.8580, 
0.1382, 0.8879, 0.8580, 0.7748, 0.8633, 0.1640, 0.8852, 0.8316, 0.7534, 0.8483, 
0.1404, 0.8864, 0.8549, 0.7714, 0.8611, 0.1642, 0.8774, 0.8549, 0.7524, 0.8481, 
0.1366, 0.8899, 0.8577, 0.7769, 0.8649, 0.1581, 0.8813, 0.8611, 0.7586, 0.8541, 
0.1363, 0.8905, 0.8591, 0.7775, 0.8652, 0.1527, 0.8882, 0.8570, 0.7658, 0.8595, 
0.1326, 0.8943, 0.8612, 0.7829, 0.8689, 0.1559, 0.8870, 0.8544, 0.7628, 0.8564, 
0.1341, 0.8922, 0.8605, 0.7805, 0.8674, 0.1599, 0.8890, 0.8433, 0.7593, 0.8523, 
0.1310, 0.8952, 0.8622, 0.7847, 0.8705, 0.1535, 0.8874, 0.8506, 0.7645, 0.8587, 
0.1281, 0.8978, 0.8655, 0.7886, 0.8734, 0.1554, 0.8827, 0.8477, 0.7619, 0.8568, 
0.1252, 0.8993, 0.8682, 0.7924, 0.8763, 0.1681, 0.8793, 0.8366, 0.7470, 0.8442, 
0.1277, 0.8996, 0.8667, 0.7899, 0.8738, 0.1595, 0.8768, 0.8528, 0.7555, 0.8528, 
0.1254, 0.8987, 0.8679, 0.7918, 0.8762, 0.1616, 0.8816, 0.8489, 0.7546, 0.8506, 
0.1253, 0.9019, 0.8679, 0.7934, 0.8762, 0.1547, 0.8822, 0.8553, 0.7606, 0.8575, 
0.1263, 0.9014, 0.8677, 0.7922, 0.8752, 0.1521, 0.8869, 0.8553, 0.7666, 0.8601, 
0.1229, 0.9035, 0.8694, 0.7967, 0.8787, 0.1611, 0.8831, 0.8424, 0.7574, 0.8511, 
0.1238, 0.9019, 0.8691, 0.7957, 0.8778, 0.1615, 0.8785, 0.8459, 0.7530, 0.8507, 
0.1209, 0.9043, 0.8721, 0.7994, 0.8807, 0.1595, 0.8842, 0.8401, 0.7563, 0.8527, 
0.1198, 0.9066, 0.8724, 0.8012, 0.8817, 0.1648, 0.8840, 0.8385, 0.7522, 0.8474, 
0.1179, 0.9074, 0.8755, 0.8037, 0.8836, 0.1586, 0.8885, 0.8400, 0.7599, 0.8536, 
0.1134, 0.9109, 0.8778, 0.8094, 0.8881, 0.1589, 0.8811, 0.8539, 0.7590, 0.8534, 
0.1148, 0.9101, 0.8782, 0.8084, 0.8867, 0.1554, 0.8836, 0.8517, 0.7638, 0.8568, 
0.1121, 0.9129, 0.8802, 0.8122, 0.8895, 0.1626, 0.8842, 0.8377, 0.7549, 0.8496, 
0.1130, 0.9122, 0.8790, 0.8107, 0.8885, 0.1560, 0.8841, 0.8469, 0.7621, 0.8562, 
0.1106, 0.9147, 0.8809, 0.8144, 0.8909, 0.1632, 0.8819, 0.8310, 0.7518, 0.8491, 
0.1113, 0.9153, 0.8817, 0.8143, 0.8902, 0.1578, 0.8840, 0.8419, 0.7602, 0.8544, 
