train_loss, train_acc_all, train_acc_mean, train_jacc, train_dice, val_loss, val_acc_all, val_acc_mean, val_jacc, val_dice, 
"0,1631","0,8667","0,8285","0,7379","0,8388","0,1619","0,8656","0,8533","0,7483","0,8485", 
"0,1601","0,8692","0,8311","0,7418","0,8417","0,1629","0,8771","0,8256","0,7492","0,8474", 
"0,1593","0,8699","0,8323","0,7428","0,8425","0,1589","0,8789","0,8371","0,7538","0,8515", 
"0,156","0,8723","0,8352","0,7471","0,8458","0,1679","0,8785","0,8217","0,7445","0,8424", 
"0,1551","0,8712","0,836","0,748","0,8467","0,1574","0,8752","0,848","0,7555","0,853", 
"0,1511","0,8756","0,8401","0,7537","0,8507","0,1808","0,867","0,8034","0,727","0,8296", 
"0,1509","0,8761","0,8409","0,7546","0,8509","0,1573","0,8757","0,8505","0,7554","0,853", 
"0,1496","0,8773","0,8412","0,7562","0,8522","0,1567","0,8772","0,8551","0,7559","0,8537", 
"0,1452","0,8821","0,845","0,7619","0,8566","0,1569","0,8822","0,8471","0,7585","0,8535", 
"0,1428","0,8835","0,848","0,7652","0,859","0,1585","0,8706","0,8497","0,753","0,8518", 
"0,1408","0,8854","0,8493","0,7678","0,861","0,1581","0,8785","0,8443","0,756","0,8522", 
"0,1387","0,8879","0,8516","0,7713","0,8631","0,1551","0,882","0,8353","0,7591","0,8552", 
"0,136","0,8897","0,8538","0,775","0,8658","0,1584","0,8771","0,8416","0,7551","0,852", 
"0,1409","0,8849","0,8493","0,7678","0,8609","0,1549","0,8764","0,8505","0,7584","0,8555", 
"0,1348","0,8908","0,8552","0,7767","0,867","0,1585","0,878","0,8454","0,7554","0,8519", 
"0,1301","0,8949","0,8603","0,7832","0,8717","0,1596","0,867","0,8551","0,7523","0,8507", 
"0,1297","0,8957","0,8601","0,7838","0,8721","0,1627","0,8774","0,8299","0,7496","0,8477", 
"0,1269","0,8981","0,863","0,7879","0,8749","0,1571","0,8771","0,8445","0,7566","0,8533", 
"0,1259","0,8991","0,863","0,7892","0,8759","0,1623","0,8784","0,8278","0,7507","0,848", 
"0,1235","0,9011","0,8657","0,7929","0,8783","0,1642","0,87","0,8315","0,7463","0,8462", 
"0,1223","0,9019","0,8672","0,7942","0,8795","0,1647","0,8766","0,8329","0,7465","0,8457", 
"0,1204","0,9045","0,8691","0,7971","0,8814","0,1665","0,876","0,8206","0,7459","0,8439", 
"0,1178","0,9063","0,8711","0,8009","0,884","0,1573","0,8814","0,8387","0,7572","0,8531", 
"0,1158","0,9093","0,8732","0,8044","0,886","0,1597","0,8781","0,8322","0,753","0,8507", 
"0,1136","0,9109","0,8758","0,8074","0,8881","0,1591","0,8772","0,8391","0,754","0,8512", 
